date,open,high,low,close,volume,amount
2022-05-16,81.0,83.17,81.0,81.1,39662196.0,3247843047.0
2022-05-17,79.7,87.28,79.7,85.16,79934154.0,6743713755.0
2022-05-18,85.46,88.92,84.68,86.91,56488959.0,4917265573.0
2022-05-19,85.08,92.3,84.75,91.5,72393353.0,6425683996.0
2022-05-20,93.4,95.0,88.96,91.3,69394101.0,6350163288.0
2022-05-23,92.99,100.03,92.7,99.04,85587950.0,8207423948.0
2022-05-24,99.03,102.55,96.26,96.4,85723243.0,8491886562.000001
2022-05-25,96.5,98.5,93.55,97.52,64722902.0,6230470253.0
2022-05-26,97.53,98.58,94.56,97.0,48213954.0,4674876071.0
2022-05-27,99.12,100.5,95.3,96.59,50868354.0,4975414726.0
2022-05-30,97.01,99.85,96.26,98.62,50949823.0,5000599808.0
2022-05-31,98.0,98.56,95.3,98.33,47718826.0,4641875799.0
2022-06-01,96.4,97.21,92.01,95.57,64083778.0,6090336162.0
2022-06-02,93.0,95.65,92.2,94.39,41437492.0,3911791994.0
2022-06-06,94.51,103.83,94.51,103.83,97010480.0,9795777202.0
2022-06-07,105.0,106.51,103.0,104.95,64226803.0,6722683812.0
2022-06-08,106.0,111.76,106.0,109.85,75046802.0,8190431096.0
2022-06-09,108.98,110.6,108.08,109.99,43980449.0,4808189275.0
2022-06-10,108.89,112.94,107.48,111.52,51854423.0,5734775673.0
2022-06-13,111.88,121.66,111.77,117.86,73525454.0,8605666365.0
2022-06-14,114.95,118.08,111.83,115.81,60561541.0,6955230234.0
2022-06-15,116.8,120.85,114.33,117.68,63529448.0,7508619260.0
2022-06-16,117.68,118.6,112.8,114.75,56091390.0,6481284118.0
2022-06-17,113.0,120.16,112.8,119.02,59489328.0,7002051076.0
2022-06-20,121.3,121.5,115.9,117.82,48425233.0,5734077501.0
2022-06-21,117.0,117.38,112.58,114.39,52290288.0,5992570629.0
2022-06-22,115.0,117.46,114.5,114.96,39338965.0,4563780896.0
2022-06-23,116.45,119.21,111.28,119.03,62040765.0,7221504016.0
2022-06-24,119.37,119.62,114.46,117.86,48636494.0,5675839722.0
2022-06-27,117.03,129.62,117.03,125.66,74689880.0,9323195813.0
2022-06-28,127.8,130.68,125.71,128.4,50425672.0,6464664641.0
2022-06-29,127.2,127.9,122.7,122.8,46134163.0,5765387368.0
2022-06-30,122.0,126.3,122.0,124.8,42702897.0,5323198245.0
2022-07-01,123.8,135.0,122.68,133.0,69240856.0,8982199697.0
2022-07-04,134.0,143.0,134.0,141.7,62691468.99999999,8782686368.0
2022-07-05,141.7,147.21,141.09,147.17,57340486.0,8272716185.0
2022-07-06,145.0,148.57,141.52,143.83,49435065.0,7131279133.0
2022-07-07,144.0,145.5,141.6,144.86,35838195.0,5156151500.0
2022-07-08,145.56,148.0,143.02,148.0,55485105.00000001,8089163197.0
2022-07-11,143.0,144.0,133.2,134.45,71261680.0,9623849719.0
2022-07-12,132.51,134.43,123.1,127.8,95082916.0,12180904915.0
2022-07-13,124.01,132.0,121.0,128.6,89791961.0,11293611017.0
2022-07-14,128.5,130.33,122.04,125.55,71518799.0,9025821620.0
2022-07-15,126.0,131.5,124.0,124.0,62277610.0,7935212674.0
2022-07-18,124.54,126.5,115.44,119.97,75579375.0,9056159137.0
2022-07-19,119.98,124.27,118.86,120.65,52919589.0,6426948560.0
2022-07-20,124.0,127.5,121.59,123.7,55772680.00000001,6938632603.0
2022-07-21,122.5,122.5,115.0,115.0,67772777.0,7986270451.0
2022-07-22,117.12,117.88,114.5,116.85,48303468.0,5604661304.0
2022-07-25,116.0,120.89,115.35,117.7,48575284.0,5776336676.0
2022-07-26,118.91,125.68,118.88,121.56,71493824.0,8744876530.0
2022-07-27,120.6,120.89,116.64,118.75,41182013.0,4890127448.0
2022-07-28,119.94,120.01,115.37,115.75,42576603.0,4970113003.0
2022-07-29,116.77,117.45,115.01,115.5,31497513.0,3655581906.0
2022-08-01,113.5,118.25,110.22,117.65,62228091.0,7121292545.0
2022-08-02,114.89,115.59,111.5,111.85,49002481.0,5548513054.0
2022-08-03,116.0,116.38,108.95,109.8,47867247.0,5393337983.0
2022-08-04,110.97,115.2,110.1,113.4,44987771.0,5092111800.0
2022-08-05,112.01,117.85,110.5,116.88,58133394.99999999,6673275248.0
2022-08-08,116.6,121.18,115.69,118.19,59302313.0,7022080844.0
2022-08-09,118.0,122.0,116.6,119.45,44153912.0,5273835410.0
2022-08-10,120.85,121.9,116.63,117.78,42922702.0,5111940906.0
2022-08-11,119.05,119.5,113.83,117.5,48864244.0,5684267581.0
2022-08-12,116.4,119.69,114.97,115.11,38308105.0,4468054434.0
2022-08-15,115.12,121.89,115.11,120.09,62677675.0,7500528370.0
2022-08-16,120.97,121.0,116.0,116.68,57710922.0,6801761313.0
2022-08-17,115.99,116.0,112.38,114.97,45530623.0,5182826807.0
2022-08-18,114.02,115.88,113.16,113.92,31054190.999999996,3545427415.0
2022-08-19,111.5,113.0,109.08,109.2,48592802.0,5381547827.0
2022-08-22,108.81,120.12,105.8,120.12,98177572.0,11242027775.0
2022-08-23,120.5,122.16,117.4,121.07,68083378.0,8165245452.0
2022-08-24,122.7,124.5,118.53,119.13,61570290.0,7472427563.0
2022-08-25,120.12,120.55,108.44,112.47,75229816.0,8563359709.000001
2022-08-26,113.0,120.0,111.18,115.51,62684326.0,7288333442.0
2022-08-29,113.55,116.98,112.89,116.05,33253796.000000004,3825002253.0
2022-08-30,116.65,117.5,112.66,115.63,33169109.000000004,3822153721.0
2022-08-31,115.25,119.87,109.6,114.24,75688352.0,8576521543.0
2022-09-01,113.2,113.35,107.5,107.92,51282657.0,5649034492.0
2022-09-02,108.57,109.44,103.9,105.22,47976588.0,5106764453.0
2022-09-05,103.97,106.14,103.5,105.5,28318046.000000004,2964919278.0
2022-09-06,106.51,111.4,105.29,110.77,58859538.0,6405893731.0
2022-09-07,109.0,110.88,108.26,109.51,39089642.0,4274901633.0000005
2022-09-08,110.5,110.74,107.52,107.59,30960861.0,3373978372.0
2022-09-09,108.98,111.39,107.75,110.35,49016744.0,5389527437.0
2022-09-13,110.51,113.5,108.66,112.0,43985881.0,4893196889.0
2022-09-14,111.0,114.66,110.05,113.01,44515027.0,5006976459.0
2022-09-15,115.0,116.2,108.78,109.92,58902009.0,6624846354.0
2022-09-16,107.46,107.46,100.8,104.02,47449547.0,4962565735.0
2022-09-19,103.99,106.89,103.6,105.54,27743123.0,2929524120.0
2022-09-20,107.0,115.8,106.49,114.3,69283046.0,7819665192.0
2022-09-21,113.0,115.5,112.42,114.79,39131796.0,4475033703.0
2022-09-22,114.53,117.4,113.23,115.04,34867796.0,4014646683.0
2022-09-23,114.23,114.55,109.33,111.67,40023580.0,4474729255.0
2022-09-26,110.2,112.5,109.19,109.9,29017642.0,3209794603.0
2022-09-27,109.88,110.3,105.16,108.98,39576047.0,4236651304.9999995
2022-09-28,107.58,108.0,101.99,102.29,44090807.0,4583840666.0
2022-09-29,103.55,105.4,102.64,104.11,31817009.000000004,3304959804.0
2022-09-30,103.0,104.2,100.01,100.4,33898752.0,3451695888.0
2022-10-10,99.01,100.8,96.72,97.02,26775458.0,2629942817.0
2022-10-11,98.6,101.6,97.98,100.6,31360758.0,3143411242.0
2022-10-12,101.31,102.0,95.36,102.0,47115555.0,4661452380.0
2022-10-13,98.0,99.66,97.66,97.88,38872199.0,3829077040.0
2022-10-14,99.9,103.36,99.0,101.92,44302024.0,4475339627.0
2022-10-17,98.98,100.02,96.7,99.6,57170864.0,5617312439.0
2022-10-18,100.8,101.71,98.27,98.51,36260357.0,3606258743.0
2022-10-19,98.48,100.99,98.02,98.78,30224987.0,2999502552.0
2022-10-20,97.0,97.0,94.51,95.18,37587416.0,3582818805.0
2022-10-21,95.15,96.0,92.01,92.59,34540170.0,3244308301.0
2022-10-24,93.99,96.46,92.5,93.2,40070527.0,3797092124.0
2022-10-25,93.22,95.78,90.0,95.29,37578879.0,3520528804.0
2022-10-26,95.98,97.5,95.25,95.6,34836306.0,3353141094.0
2022-10-27,96.82,97.8,95.65,95.65,26877790.999999996,2597499631.0
2022-10-28,95.14,95.2,92.03,92.44,28143684.999999996,2628383991.0
2022-10-31,92.0,95.9,91.57,95.55,38204696.0,3613478298.0
2022-11-01,95.03,101.15,94.95,100.18,52759437.0,5221077380.0
2022-11-02,98.9,100.22,97.8,99.35,33406296.999999996,3310261789.0
2022-11-03,97.0,99.09,95.96,96.71,38722644.0,3761051438.0
2022-11-04,96.88,106.3,95.22,104.9,79513727.0,8099579118.0
2022-11-07,105.45,107.5,104.36,104.99,44630757.0,4716825360.0
2022-11-08,104.99,106.22,103.7,105.86,29626594.0,3109070227.0
2022-11-09,108.99,109.79,105.37,105.39,35280577.0,3784793573.0
2022-11-10,103.36,104.0,99.2,100.35,39261444.0,3975448529.0
2022-11-11,103.98,104.4,101.02,102.1,35477095.0,3644104088.0
2022-11-14,102.1,103.3,97.53,98.37,37052824.0,3694066694.0
2022-11-15,97.37,99.26,96.0,98.99,31852802.0,3117886308.0
2022-11-16,98.0,98.41,95.63,95.69,34022670.0,3280693387.0
2022-11-17,95.69,96.55,93.5,94.91,29113473.0,2756854933.0
2022-11-18,93.55,94.39,91.62,92.02,38789549.0,3596772815.0
2022-11-21,91.0,93.32,90.32,93.24,28412323.0,2625512712.0
2022-11-22,93.3,93.49,90.79,91.18,24657036.0,2259021383.0
2022-11-23,90.8,92.36,90.1,91.83,21053036.0,1922889682.0
2022-11-24,92.14,93.88,91.03,92.38,24476403.0,2261073583.0
2022-11-25,92.0,92.0,89.57,89.57,28783134.000000004,2597510573.0
2022-11-28,86.5,87.68,85.6,87.1,30192621.999999996,2618408646.0
2022-11-29,87.6,88.24,86.21,87.8,26615220.0,2326347990.0
2022-11-30,87.8,91.27,87.62,90.13,41703824.0,3732774074.0
2022-12-01,91.66,92.0,89.74,89.76,32715621.000000004,2960320647.0
2022-12-02,89.01,89.5,88.07,88.43,23071187.0,2043482520.0
2022-12-05,89.12,89.4,87.57,88.3,24986858.0,2206800699.0
2022-12-06,87.51,90.37,86.28,89.22,33573726.0,2976966219.0
2022-12-07,88.51,91.5,88.43,89.67,35837134.0,3234692729.0
2022-12-08,89.8,91.27,88.6,89.0,23902683.0,2143416160.9999998
2022-12-09,89.46,90.5,88.1,88.9,23840406.0,2121833413.9999998
2022-12-12,88.23,88.25,86.52,86.85,26795836.0,2335146812.0
2022-12-13,86.61,87.7,85.65,85.68,21110718.0,1824100223.0
2022-12-14,85.66,86.3,85.11,85.58,17616940.0,1508541009.0
2022-12-15,85.2,87.46,84.14,87.18,28899076.0,2482204764.0
2022-12-16,86.0,86.29,82.72,83.47,31303690.000000004,2639310232.0
2022-12-19,83.36,89.42,83.11,87.35,56379481.00000001,4942368433.0
2022-12-20,86.37,86.95,83.46,83.98,32649532.0,2755692080.0
2022-12-21,84.1,84.5,81.77,82.5,25419526.0,2106376872.0
2022-12-22,83.39,83.49,80.03,80.13,27402811.0,2227095669.0
2022-12-23,79.1,81.04,79.1,80.24,17294046.0,1387218034.0
2022-12-26,80.02,82.25,79.76,81.81,20568722.0,1669292847.0
2022-12-27,81.82,82.64,80.67,81.93,19265133.0,1572332661.0
2022-12-28,80.42,81.28,78.7,80.67,24776438.0,1982677263.0
2022-12-29,80.03,82.1,80.03,80.83,18669033.0,1517172194.0
2022-12-30,81.66,82.11,78.8,78.99,26499024.0,2117894404.0
2023-01-03,78.58,81.76,77.56,81.36,30729319.0,2462784494.0
2023-01-04,80.8,81.3,78.8,79.05,24958157.0,1991402437.0
2023-01-05,79.71,83.31,79.3,81.79,44335391.0,3619643439.0
2023-01-06,81.0,85.03,80.98,84.25,47522906.0,3981931955.0
2023-01-09,85.46,86.52,84.68,85.02,35507438.0,3034145917.0
2023-01-10,84.86,86.59,83.8,85.93,34735583.0,2966507900.0
2023-01-11,85.75,86.25,84.17,84.29,21326797.0,1816019559.0
2023-01-12,85.4,87.4,85.0,85.26,34272687.0,2949255962.0
2023-01-13,85.96,87.38,84.6,85.64,26841344.0,2305258629.0
2023-01-16,85.72,87.72,84.7,87.22,31900018.0,2768686355.0
