date,open,high,low,close,volume,amount
2022-05-16,126.99,131.47,125.21,129.41,2284776.0,293452208.0
2022-05-17,128.12,129.8,124.18,127.94,2553175.0,323753185.0
2022-05-18,127.0,127.48,125.05,125.8,1417426.0,178963085.0
2022-05-19,123.45,125.6,121.0,125.6,2160500.0,266830213.99999997
2022-05-20,126.6,135.46,125.01,134.25,5107357.0,676912464.0
2022-05-23,133.68,134.0,129.76,132.77,2391079.0,314045967.0
2022-05-24,130.81,133.5,130.0,130.24,2143606.0,281450006.0
2022-05-25,130.18,132.0,128.62,130.44,1388482.0,180653553.0
2022-05-26,130.44,130.99,126.62,126.85,1707145.0,218312383.0
2022-05-27,127.5,128.6,123.58,125.49,1887330.0,236661447.0
2022-05-30,125.0,126.8,121.0,124.63,2855418.0,355723892.0
2022-05-31,124.35,132.52,123.35,131.45,3945080.0000000005,510383176.0
2022-06-01,131.48,134.78,130.0,133.17,2483337.0,329824253.0
2022-06-02,133.01,133.5,129.6,129.9,2067027.0,270028360.0
2022-06-06,129.08,138.21,128.1,137.53,3731093.0,505899760.0
2022-06-07,136.9,140.31,135.36,139.48,2876564.0,398007213.0
2022-06-08,139.48,147.59,138.8,141.0,3806131.0,541595324.0
2022-06-09,140.47,142.38,138.72,139.28,2753479.0,385818975.0
2022-06-10,139.58,144.99,138.0,140.0,4521947.0,637558311.0
2022-06-13,138.0,142.4,137.3,138.57,2423800.0,337300985.0
2022-06-14,137.76,145.72,137.66,145.72,3301014.0,472877444.0
2022-06-15,144.28,149.39,142.0,142.81,2764601.0,403530990.0
2022-06-16,142.9,149.0,142.9,146.5,1996784.0,293121592.0
2022-06-17,147.4,151.0,146.0,149.86,2051665.0000000002,305321440.0
2022-06-20,149.92,153.97,148.01,151.86,2240220.0,337694632.0
2022-06-21,151.0,152.46,147.0,148.49,1965629.0,293247783.0
2022-06-22,147.99,150.45,145.0,148.0,1568266.0,231955959.0
2022-06-23,147.7,150.95,146.01,150.37,1381534.0,205555042.0
2022-06-24,150.55,153.58,149.18,150.45,1485800.0,224943658.0
2022-06-27,153.46,164.44,150.96,162.0,3386046.0,537473115.0
2022-06-28,162.5,167.07,159.0,166.45,2638176.0,431876849.0
2022-06-29,165.75,166.17,159.6,163.66,1944791.0,316270951.0
2022-06-30,164.0,172.0,160.11,167.87,1949212.0,326736370.0
2022-07-01,166.99,167.41,161.21,163.13,1685308.0000000002,275276438.0
2022-07-04,163.78,168.07,161.54,167.7,1584108.0,262441474.99999997
2022-07-05,166.89,168.37,157.6,160.01,3646705.0000000005,586232314.0
2022-07-06,159.88,159.88,149.9,152.9,4937166.0,753373893.0
2022-07-07,153.01,154.83,146.6,151.0,2388904.0,359178220.0
2022-07-08,151.95,155.5,149.12,153.17,2322706.0,354771104.0
2022-07-11,151.8,155.67,149.75,151.91,1670402.0,253922745.0
2022-07-12,151.5,153.6,149.7,151.62,1405061.0,212793284.0
2022-07-13,152.14,154.95,149.0,153.2,1928041.9999999998,294470973.0
2022-07-14,152.21,153.5,146.0,146.53,3210053.0,477947705.0
2022-07-15,146.56,157.01,145.01,152.05,3120188.0,476777274.0
2022-07-18,152.1,153.89,145.12,153.4,3066034.0,462568605.0
2022-07-19,153.4,156.89,150.69,156.2,2097066.9999999998,324876462.0
2022-07-20,156.5,169.33,154.99,161.3,3193674.0,521203744.0
2022-07-21,160.3,162.65,157.0,157.1,1300973.0,206985303.0
2022-07-22,157.12,158.6,152.0,153.7,1549469.0,239137077.0
2022-07-25,152.53,153.99,150.8,152.88,1254632.0,190920168.0
2022-07-26,153.49,160.49,153.18,157.92,1404488.0,220905226.0
2022-07-27,157.42,157.88,152.22,154.09,1007775.0,155018067.0
2022-07-28,155.78,156.78,152.0,152.3,1056454.0,162031345.0
2022-07-29,153.2,153.2,145.55,147.04,1755584.0,258795151.0
2022-08-01,147.0,151.72,146.0,149.04,2055384.0,306905362.0
2022-08-02,146.85,149.9,144.8,145.61,1814331.0000000002,265659451.0
2022-08-03,146.37,148.82,144.0,144.5,1476067.0,214755277.0
2022-08-04,144.25,146.65,143.5,145.15,1462328.0,212109534.0
2022-08-05,144.35,146.39,144.03,145.5,1002389.0,145239698.0
2022-08-08,145.44,151.0,144.83,148.62,2192486.0,325610976.0
2022-08-09,149.36,149.36,144.43,145.78,1487821.0,216579989.0
2022-08-10,146.2,146.28,139.56,140.16,1743291.9999999998,246306596.0
2022-08-11,141.1,148.33,139.1,147.48,2240436.0,323540272.0
2022-08-12,146.95,151.6,144.58,150.15,1679673.0,249099049.0
2022-08-15,148.77,151.0,146.46,147.69,1365083.0,202104503.0
2022-08-16,147.13,148.12,143.0,143.63,1599961.0,230758241.0
2022-08-17,144.24,148.46,142.11,147.7,1439747.0,209861043.0
2022-08-18,147.69,147.69,141.03,142.85,2207759.0,316053058.0
2022-08-19,142.01,146.8,138.02,143.65,2341036.0,333815072.0
2022-08-22,145.2,153.0,142.59,152.3,2760169.0,414533451.0
2022-08-23,163.0,165.0,156.0,159.6,3518692.0,561384199.0
2022-08-24,161.06,162.5,154.5,156.9,3213023.0,506750824.0
2022-08-25,157.81,160.0,154.01,156.97,1867963.0,294799591.0
2022-08-26,157.0,161.95,156.45,156.45,1571117.0,248479187.0
2022-08-29,152.4,158.5,151.2,154.8,2505114.0,388388562.0
2022-08-30,153.33,154.1,146.64,149.01,2438233.0,363183745.0
2022-08-31,147.65,158.1,147.0,155.12,2868777.0,443138760.0
2022-09-01,152.89,156.01,152.13,153.7,1543362.0,238402128.0
