分析日期,目标日期,股票代码,行业,当前价格,DCF估值,价值比(%),成交量,信号类型,置信度,触发原因,价值比过滤器_卖出,价值比过滤器_买入,超买超卖_卖出,超买超卖_买入,动能确认_卖出,动能确认_买入,极端价格量能_卖出,极端价格量能_买入,RSI当前值,RSI超买阈值,RSI超卖阈值,RSI极端超买阈值,RSI极端超卖阈值,RSI顶背离,RSI底背离,EMA20,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林下轨,成交量比率
2025-02-28,2025-02-28,601225,煤炭开采,18.95,40.0,47.375,2180008.0,BUY,3.0,买入信号：价值比过滤器+2个买入维度,False,True,False,True,True,False,False,True,30.1887641213355,69.3,34.31,77.83,31.73,False,False,22.325762111397655,-1.1527933017320713,-0.7160098216474989,-0.4367834800845723,26.391302775800497,19.362697224199497,1.2715896019116706
2025-03-07,2025-03-07,601225,煤炭开采,18.91,40.0,47.275,1549684.0,HOLD,0.0,"信号不足(卖出:1,买入:1)",False,True,False,True,True,False,False,False,30.06253878079748,69.3,34.31,77.83,31.73,False,False,22.00045143411841,-1.27622880600536,-0.8280536185190711,-0.4481751874862888,26.314793188538637,18.814206811461354,0.9084856703035292
