Stock_number,Stock_name,Initial_weight,Industry,DCF_value_per_share
601088,中国神华,0.0615,煤炭开采,45
601225,陕西煤业,0.0653,煤炭开采,40
600985,淮北矿业,0.103,煤炭开采,20
2738,中矿资源,0.15,能源金属,50
2460,赣锋锂业,0.08,能源金属,50
933,神火股份,0.12,煤炭开采,37
807,云铝股份,0.1,有色金属,25
600079,人福医药,0.1,医药制造,28
603345,安井食品,0.081,食品饮料,126
601898,中煤能源,0.02,煤炭开采,20
CASH,现金,0.12,现金,
