日期,收盘价,成交量,DCF估值,价值比(%),EMA20,EMA60,RSI,MACD_DIF,MACD_DEA,MACD_HIST,布林带上轨,布林带中轨,布林带下轨,成交量均线,量比,最终信号,信号置信度,信号原因,价值比过滤器_卖出,价值比过滤器_买入,RSI超买超卖_卖出,RSI超买超卖_买入,动能确认_卖出,动能确认_买入,极端价量_卖出,极端价量_买入,RSI顶背离,RSI底背离,MACD顶背离,MACD底背离,卖出维度满足数,买入维度满足数
2024-06-28,39.85,1041641.0,40.0,99.63,35.9,31.46,71.15,2.7211,2.5621,0.1589,40.58,36.1,31.62,1406840.0,0.7404,SELL,3.0,卖出信号：价值比过滤器+2个卖出维度,True,False,True,False,True,True,False,False,True,False,True,False,2,1
2024-09-30,41.34,959338.0,40.0,103.35,37.59,34.33,64.86,1.1447,1.3136,-0.1689,41.69,38.4,35.11,1038353.0,0.9239,HOLD,0.0,"信号不足(卖出:1,买入:1)",True,False,False,False,True,True,False,False,True,False,True,False,1,1
