行业代码,行业名称,layer,volatility,current_rsi,普通超卖,普通超买,极端超卖,极端超买,data_points,更新时间
801722,装修装饰Ⅱ,高波动,11.69,60.343,33.663,58.69,29.126,65.019,104,2025/8/8 21:12
801723,基础建设,中波动,9.743,59.864,35.723,57.85,33.12,60.791,104,2025/8/8 21:12
801724,专业工程,中波动,11.4,63.056,31.911,58.325,29.138,62.063,104,2025/8/8 21:12
801726,工程咨询服务Ⅱ,低波动,8.746,66.769,40.937,59.613,39.057,62.123,104,2025/8/8 21:12
801731,电机Ⅱ,中波动,9.322,62.885,39.924,62.146,37.152,64.871,104,2025/8/8 21:12
801733,其他电源设备Ⅱ,高波动,13.859,67.53,30.967,64.074,28.584,68.391,104,2025/8/8 21:12
801735,光伏设备,中波动,9.552,54.794,31.134,51.439,29.029,55.696,104,2025/8/8 21:12
801736,风电设备,高波动,11.84,66.498,31.803,58.565,27.42,63.431,104,2025/8/8 21:12
801737,电池,高波动,12.649,58.74,33.625,62.473,29.107,68.624,104,2025/8/8 21:12
801738,电网设备,低波动,8.482,63.768,41.206,59.876,40.015,60.295,104,2025/8/8 21:12
801741,航天装备Ⅱ,低波动,8.18,70.387,41.609,60.156,41.182,60.878,104,2025/8/8 21:12
801742,航空装备Ⅱ,中波动,10.67,72.491,37.411,58.908,34.955,64.865,104,2025/8/8 21:12
801743,地面兵装Ⅱ,高波动,13.242,88.244,37.196,62.321,32.846,78.449,104,2025/8/8 21:12
801744,航海装备Ⅱ,低波动,7.806,72.032,43.313,60.251,41.249,61.712,104,2025/8/8 21:12
801745,军工电子Ⅱ,中波动,10.321,70.945,37.758,61.465,36.293,62.59,104,2025/8/8 21:12
801764,游戏Ⅱ,中波动,11.219,73.381,38.012,64.001,34.445,65.991,104,2025/8/8 21:12
801765,广告营销,中波动,11.393,60.79,34.906,58.979,31.8,65.799,104,2025/8/8 21:12
801766,影视院线,中波动,9.197,62.67,36.861,58.732,34.701,61.966,104,2025/8/8 21:12
801767,数字媒体,低波动,9.057,52.599,36.847,56.013,36.092,60.088,104,2025/8/8 21:12
801769,出版,低波动,6.633,56.833,43.66,57.248,42.616,59.196,104,2025/8/8 21:12
801782,国有大型银行Ⅱ,低波动,6.796,68.273,54.558,68.313,52.214,70.171,104,2025/8/8 21:12
801783,股份制银行Ⅱ,高波动,12.086,61.446,42.137,67.022,32.66,70.749,104,2025/8/8 21:12
801784,城商行Ⅱ,高波动,11.784,62.061,43.435,65.411,33.534,71.928,104,2025/8/8 21:12
801785,农商行Ⅱ,低波动,8.748,57.981,48.762,65.541,44.703,69.028,104,2025/8/8 21:12
801881,摩托车及其他,高波动,14.052,67.821,35.26,67.258,30.383,71.097,104,2025/8/8 21:12
801951,煤炭开采,中波动,10.557,54.846,38.787,61.612,36.451,64.983,104,2025/8/8 21:12
801952,焦炭Ⅱ,中波动,10.086,56.433,29.297,52.816,25.436,56.574,104,2025/8/8 21:12
801962,油服工程,低波动,7.465,57.376,41.898,56.803,38.592,58.223,104,2025/8/8 21:12
801963,炼化及贸易,低波动,7.742,53.448,38.202,53.733,36.854,55.857,104,2025/8/8 21:12
801971,环境治理,高波动,11.654,63.445,35.754,63.022,31.905,67.41,104,2025/8/8 21:12
801972,环保设备Ⅱ,中波动,11.321,67.234,32.543,59.304,30.822,61.833,104,2025/8/8 21:12
801981,个护用品,高波动,12.535,58.538,35.584,62.503,32.653,70.31,104,2025/8/8 21:12
801982,化妆品,中波动,9.494,55.457,33.34,54.82,31.545,58.853,104,2025/8/8 21:12
801991,航空机场,低波动,8.408,50.004,35.539,52.822,34.832,56.21,104,2025/8/8 21:12
801992,航运港口,低波动,8.27,55.401,42.351,58.553,40.851,61.844,104,2025/8/8 21:12
801993,旅游及景区,低波动,8.38,56.664,37.547,56.739,36.134,58.297,104,2025/8/8 21:12
801994,教育,中波动,10.366,60.091,38.388,59.673,34.4,62.963,104,2025/8/8 21:12
801995,电视广播Ⅱ,中波动,9.63,61.883,37.845,57.924,34.906,61.764,104,2025/8/8 21:12
