日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2021-05-21,600985,淮北矿业(600985),分红,2021-05-21,0.650,0.0,0.0,0.0,0.00,85400,85400,55510.00,每股分红0.650元
2021-06-18,601898,中煤能源(601898),分红,2021-06-18,0.134,0.0,0.0,0.0,0.00,42100,42100,5641.40,每股分红0.134元
2021-06-25,002738,中矿资源(002738),分红,2021-06-25,0.050,0.0,0.0,0.0,0.00,44100,44100,2205.00,每股分红0.050元
2021-06-25,000933,神火股份(000933),分红,2021-06-25,0.100,0.0,0.0,0.0,0.00,150700,150700,15070.00,每股分红0.100元
2021-07-02,603345,安井食品(603345),分红,2021-07-02,0.742,0.0,0.0,0.0,0.00,4300,4300,3190.60,每股分红0.742元
2021-07-09,601225,陕西煤业(601225),分红,2021-07-09,0.800,0.0,0.0,0.0,0.00,63700,63700,50960.00,每股分红0.800元
2021-07-16,601088,中国神华(601088),分红,2021-07-16,1.810,0.0,0.0,0.0,0.00,33000,33000,59730.00,每股分红1.810元
2021-07-16,002460,赣锋锂业(002460),分红,2021-07-16,0.300,0.0,0.0,0.0,0.00,6400,6400,1920.00,每股分红0.300元
2021-07-30,600079,人福医药(600079),分红,2021-07-30,0.100,0.0,0.0,0.0,0.00,32100,32100,3210.00,每股分红0.100元
2022-05-20,000933,神火股份(000933),分红,2022-05-20,0.450,0.0,0.0,0.0,0.00,150700,150700,67815.00,每股分红0.450元
2022-06-10,600985,淮北矿业(600985),分红,2022-06-10,0.700,0.0,0.0,0.0,0.00,85400,85400,59780.00,每股分红0.700元
2022-06-24,000807,云铝股份(000807),分红,2022-06-24,0.113,0.0,0.0,0.0,0.00,131500,131500,14859.50,每股分红0.113元
2022-07-01,603345,安井食品(603345),分红,2022-07-01,0.699,0.0,0.0,0.0,0.00,4300,4300,3005.70,每股分红0.699元
2022-07-08,601225,陕西煤业(601225),分红,2022-07-08,1.350,0.0,0.0,0.0,0.00,63700,63700,85995.00,每股分红1.350元
2022-07-15,601088,中国神华(601088),分红,2022-07-15,2.540,0.0,0.0,0.0,0.00,33000,33000,83820.00,每股分红2.540元
2022-07-29,600079,人福医药(600079),分红,2022-07-29,0.150,0.0,0.0,0.0,0.00,38500,38500,5775.00,每股分红0.150元
2022-07-29,601898,中煤能源(601898),分红,2022-07-29,0.301,0.0,0.0,0.0,0.00,42100,42100,12672.10,每股分红0.301元
2023-05-19,000933,神火股份(000933),分红,2023-05-19,1.000,0.0,0.0,0.0,0.00,150700,150700,150700.00,每股分红1.000元
2023-06-09,600985,淮北矿业(600985),分红,2023-06-09,1.050,0.0,0.0,0.0,0.00,85400,85400,89670.00,每股分红1.050元
2023-06-09,603345,安井食品(603345),分红,2023-06-09,1.127,0.0,0.0,0.0,0.00,4300,4300,4846.10,每股分红1.127元
2023-06-16,600079,人福医药(600079),分红,2023-06-16,0.160,0.0,0.0,0.0,0.00,38500,38500,6160.00,每股分红0.160元
2023-06-30,000807,云铝股份(000807),分红,2023-06-30,0.160,0.0,0.0,0.0,0.00,131500,131500,21040.00,每股分红0.160元
2023-07-07,601088,中国神华(601088),分红,2023-07-07,2.550,0.0,0.0,0.0,0.00,33000,33000,84150.00,每股分红2.550元
