日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2025-01-17,601225,陕西煤业(601225),分红,2025-01-17,0.103,0.0,0.0,0.0,0.00,225700,225700,23247.10,每股分红0.103元
2025-01-24,603345,安井食品(603345),分红,2025-01-24,0.950,0.0,0.0,0.0,0.00,26900,26900,25555.00,每股分红0.950元
2025-05-16,000651,格力电器(000651),分红,2025-05-16,1.000,0.0,0.0,0.0,0.00,107700,107700,107700.00,每股分红1.000元
2025-06-20,603345,安井食品(603345),分红,2025-06-20,1.015,0.0,0.0,0.0,0.00,26900,26900,27303.50,每股分红1.015元
2025-06-27,601225,陕西煤业(601225),分红,2025-06-27,1.136,0.0,0.0,0.0,0.00,507700,507700,576747.20,每股分红1.136元
2025-06-27,000807,云铝股份(000807),分红,2025-06-27,0.180,0.0,0.0,0.0,0.00,324600,324600,58428.00,每股分红0.180元
2025-06-27,601919,中远海控(601919),分红,2025-06-27,1.030,0.0,0.0,0.0,0.00,353600,353600,364208.00,每股分红1.030元
2025-07-11,600795,国电电力(600795),分红,2025-07-11,0.110,0.0,0.0,0.0,0.00,2692500,2692500,296175.00,每股分红0.110元
2025-08-22,600079,人福医药(600079),分红,2025-08-22,0.320,0.0,0.0,0.0,0.00,240900,240900,77088.00,每股分红0.320元
2025-08-29,601898,中煤能源(601898),分红,2025-08-29,0.258,0.0,0.0,0.0,0.00,764100,764100,197137.80,每股分红0.258元
2025-08-29,000651,格力电器(000651),分红,2025-08-29,2.000,0.0,0.0,0.0,0.00,107700,107700,215400.00,每股分红2.000元
2025-09-26,601225,陕西煤业(601225),分红,2025-09-26,0.039,0.0,0.0,0.0,0.00,507700,507700,19800.30,每股分红0.039元
2025-09-26,603345,安井食品(603345),分红,2025-09-26,1.425,0.0,0.0,0.0,0.00,26900,26900,38332.50,每股分红1.425元
2025-10-24,601898,中煤能源(601898),分红,2025-10-24,0.166,0.0,0.0,0.0,0.00,764100,764100,126840.60,每股分红0.166元
2025-10-24,601919,中远海控(601919),分红,2025-10-24,0.560,0.0,0.0,0.0,0.00,353600,353600,198016.00,每股分红0.560元
