日期,股票代码,股票名称,信号类型,当前价格,维度一状态,技术维度满足数,三者取二,信号强度,决策依据,执行状态,未执行原因,执行日期,执行价格,信号前持仓数量,信号前持仓占比,交易数量,交易后持仓数量,交易后持仓占比,DCF估值,价值比率,价值过滤器状态,行业名称,14周RSI,行业买入阈值,行业卖出阈值,行业极端买入,行业极端卖出,RSI信号类型,价格背离,维度二状态,MACD_DIF,MACD_DEA,MACD柱体,MACD颜色,柱体趋势,金叉死叉状态,维度三状态,布林中轨,布林上轨,布林下轨,价格布林位置,当前成交量,成交量基准,成交量比率,显著放量,维度四状态,最近5周价格,最近5周成交量,数据质量,计算异常,信号ID
2024-01-26 00:00:00,600985,淮北矿业(600985),SELL,17.57,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-01-26 00:00:00,17.57,289300,0.0509,57800,231500,0.0408,25.0,0.7,满足,煤炭开采,70.63,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,1.1206,0.9146,0.206,红色,连续缩短,无交叉,卖出,15.32,18.25,12.4,区间内,72488502,88495840,0.82,否,无,"[16.63, 17.72, 17.28, 16.71, 17.57]","[143128148.0, 102934409.0, 84101620.0, 94458832.0, 72488502.0]",数据长度142条,无,600985_20240126_SELL_1706227200
2024-02-02 00:00:00,002738,中矿资源(002738),BUY,29.52,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,29.52,124300,0.0384,62100,186400,0.0576,100.0,0.3,满足,小金属,31.18,33.4,68.09,31.0,75.19,普通信号,无背离信号,买入,-3.7633,-4.5283,0.765,红色,连续缩短,无交叉,无,36.59,40.74,32.44,跌破下轨,129328010,145687712,0.89,否,买入,"[36.14, 40.2, 38.49, 37.15, 29.52]","[62566649.0, 168436314.0, 159724094.0, 125262432.0, 129328010.0]",数据长度143条,无,002738_20240202_BUY_1706832000
2024-02-02 00:00:00,600079,人福医药(600079),BUY,18.76,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,18.76,214200,0.0421,42800,257000,0.0505,28.0,0.67,满足,化学制药,30.14,35.53,73.1,31.82,79.75,极端信号,无背离信号,买入,-0.6593,-0.1514,-0.5079,绿色,连续缩短,无交叉,无,23.68,27.11,20.25,跌破下轨,94519381,66334930,1.42,是,买入,"[24.15, 23.34, 22.52, 21.41, 18.76]","[50104876.0, 43929106.0, 43516804.0, 83374431.0, 94519381.0]",数据长度143条,无,600079_20240202_BUY_1706832000
2024-02-02 00:00:00,603345,安井食品(603345),BUY,71.99,满足,2,是,60,买入信号：价值比过滤器+2个买入维度,已执行,,2024-02-02 00:00:00,71.99,51800,0.039,25900,77700,0.0585,128.0,0.56,满足,食品加工,21.83,26.75,55.58,24.82,63.03,极端信号,无背离信号,买入,-14.8092,-12.2409,-2.5682,绿色,连续缩短,无交叉,无,109.21,140.87,77.55,跌破下轨,31157690,28132742,1.11,否,买入,"[94.75, 96.42, 96.24, 81.5, 71.99]","[13710100.0, 17360436.0, 12109811.0, 51903031.0, 31157690.0]",数据长度143条,无,603345_20240202_BUY_1706832000
2024-02-23 00:00:00,601088,中国神华(601088),SELL,39.85,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-02-23 00:00:00,39.85,148700,0.0571,74300,74400,0.0286,45.0,0.89,满足,煤炭开采,83.07,34.31,69.3,31.73,77.83,极端信号,无背离信号,卖出,2.1932,1.4132,0.7799,红色,连续放大,无交叉,无,32.98,38.97,26.99,突破上轨,184425785,133529207,1.38,是,卖出,"[35.8, 37.02, 38.07, 38.07, 39.85]","[164562054.0, 177262773.0, 172428270.0, 0.0, 184425785.0]",数据长度146条,无,601088_20240223_SELL_1708646400
2024-02-23 00:00:00,600985,淮北矿业(600985),SELL,19.59,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-02-23 00:00:00,19.59,231500,0.0437,46300,185200,0.0349,25.0,0.78,满足,煤炭开采,78.12,34.31,69.3,31.73,77.83,极端信号,无背离信号,卖出,1.3329,1.1025,0.2304,红色,连续放大,无交叉,无,16.27,19.56,12.97,突破上轨,163186487,87206912,1.87,是,卖出,"[17.57, 17.41, 18.3, 18.3, 19.59]","[72488502.0, 77778881.0, 107862282.0, 0.0, 163186487.0]",数据长度146条,无,600985_20240223_SELL_1708646400
2024-03-08 00:00:00,601088,中国神华(601088),SELL,39.75,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-03-08 00:00:00,39.75,74400,0.0279,37200,37200,0.0139,45.0,0.88,满足,煤炭开采,75.71,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,2.4153,1.7509,0.6644,红色,连续缩短,无交叉,卖出,33.81,40.6,27.01,区间内,179726043,140762639,1.28,否,无,"[38.07, 38.07, 39.85, 38.38, 39.75]","[172428270.0, 0.0, 184425785.0, 198898728.0, 179726043.0]",数据长度148条,无,601088_20240308_SELL_1709856000
2024-05-17 00:00:00,601919,中远海控(601919),SELL,14.06,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-05-17 00:00:00,14.06,526800,0.067,105300,421500,0.0536,20.0,0.7,满足,航运港口,81.64,38.12,70.35,34.95,74.46,极端信号,无背离信号,卖出,0.6942,0.3235,0.3707,红色,连续放大,无交叉,无,10.74,13.0,8.48,突破上轨,1191461242,757040901,1.57,是,卖出,"[10.98, 11.33, 11.77, 13.35, 14.06]","[619322842.0, 529563442.0, 375281702.0, 931857220.0, 1191461242.0]",数据长度158条,无,601919_20240517_SELL_1715904000
2024-06-28 00:00:00,601088,中国神华(601088),SELL,44.37,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-06-28 00:00:00,44.37,37200,0.0157,18600,18600,0.0079,45.0,0.99,满足,煤炭开采,70.74,34.31,69.3,31.73,77.83,普通信号,无背离信号,卖出,2.5844,2.3999,0.1844,红色,连续缩短,无交叉,卖出,40.62,44.99,36.26,区间内,104164098,116483017,0.89,否,无,"[42.33, 44.15, 44.35, 44.11, 44.37]","[114473217.0, 141012568.0, 97225480.0, 123529923.0, 104164098.0]",数据长度164条,无,601088_20240628_SELL_1719532800
2024-08-02 00:00:00,600900,长江电力(600900),SELL,30.24,满足,2,是,60,卖出信号：价值比过滤器+2个卖出维度,已执行,,2024-08-02 00:00:00,30.24,212400,0.0633,42400,170000,0.0507,39.0,0.78,满足,电力,75.68,37.37,64.42,32.22,69.22,极端信号,无背离信号,卖出,1.5923,1.3181,0.2742,红色,连续缩短,无交叉,卖出,27.25,31.25,23.25,区间内,356538657,421329965,0.85,否,无,"[29.32, 29.88, 30.58, 30.15, 30.24]","[370849136.0, 406045171.0, 434190363.0, 488545672.0, 356538657.0]",数据长度169条,无,600900_20240802_SELL_1722556800
