日期,类型,股票代码,股数,价格,金额,手续费,原因,RSI,EMA20,EMA60,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,收盘价,成交量,量能倍数,趋势过滤器,超买超卖,动能确认,极端价格量能,布林带位置,信号评估,满足维度数,信号强度
2023-09-08,BUY,002460,1200,45.7,54840.0,71.29,现金买入,25.8,56.66,N/A,-5.6534,-4.6104,-1.043,69.54,57.68,45.82,45.7,810628,1.02,弱势下跌,超卖,强势空头,正常量能,下轨突破,谨慎,3/4,3
2023-11-03,BUY,002460,1200,42.11,50532.0,65.69,现金买入,26.9,50.4,N/A,-5.8037,-5.6337,-0.17,65.48,51.37,37.27,42.11,1348953,0.88,弱势下跌,超卖,强势空头,正常量能,中轨下方,谨慎,3/4,3
2023-12-01,BUY,002460,1300,37.83,49179.0,63.93,现金买入,24.9,47.35,N/A,-5.6514,-5.5891,-0.0623,60.13,47.58,35.03,37.83,1151295,0.87,弱势下跌,超卖,强势空头,正常量能,中轨下方,谨慎,3/4,3
