日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2025-05-16,000933,神火股份(000933),分红,2025-05-16,0.500,0.0,0.0,0.0,0.00,279600,279600,139800.00,每股分红0.500元
2025-05-16,000651,格力电器(000651),分红,2025-05-16,1.000,0.0,0.0,0.0,0.00,113600,113600,113600.00,每股分红1.000元
2025-06-13,600985,淮北矿业(600985),分红,2025-06-13,0.750,0.0,0.0,0.0,0.00,558400,558400,418800.00,每股分红0.750元
2025-06-13,000333,美的集团(000333),分红,2025-06-13,3.500,0.0,0.0,0.0,0.00,68900,68900,241150.00,每股分红3.500元
2025-06-20,603345,安井食品(603345),分红,2025-06-20,1.015,0.0,0.0,0.0,0.00,63900,63900,64858.50,每股分红1.015元
2025-06-27,601225,陕西煤业(601225),分红,2025-06-27,1.136,0.0,0.0,0.0,0.00,530700,530700,602875.20,每股分红1.136元
2025-06-27,000807,云铝股份(000807),分红,2025-06-27,0.180,0.0,0.0,0.0,0.00,299500,299500,53910.00,每股分红0.180元
2025-06-27,601919,中远海控(601919),分红,2025-06-27,1.030,0.0,0.0,0.0,0.00,341700,341700,351951.00,每股分红1.030元
2025-07-04,002738,中矿资源(002738),分红,2025-07-04,0.500,0.0,0.0,0.0,0.00,139600,139600,69800.00,每股分红0.500元
2025-07-11,601088,中国神华(601088),分红,2025-07-11,2.260,0.0,0.0,0.0,0.00,144200,144200,325892.00,每股分红2.260元
2025-07-18,002460,赣锋锂业(002460),分红,2025-07-18,0.150,0.0,0.0,0.0,0.00,138800,138800,20820.00,每股分红0.150元
2025-07-18,600900,长江电力(600900),分红,2025-07-18,0.733,0.0,0.0,0.0,0.00,177200,177200,129887.60,每股分红0.733元
2025-07-18,601668,中国铝业(601668),分红,2025-07-18,0.271,0.0,0.0,0.0,0.00,902500,902500,245028.75,每股分红0.271元
2025-07-25,600690,海尔智家(600690),分红,2025-07-25,0.965,0.0,0.0,0.0,0.00,191800,191800,185094.67,每股分红0.965元
2025-07-25,600362,江西铜业(600362),分红,2025-07-25,0.700,0.0,0.0,0.0,0.00,229800,229800,160860.00,每股分红0.700元
2025-08-22,600079,人福医药(600079),分红,2025-08-22,0.320,0.0,0.0,0.0,0.00,243700,243700,77984.00,每股分红0.320元
2025-08-29,601898,中煤能源(601898),分红,2025-08-29,0.258,0.0,0.0,0.0,0.00,1100100,1100100,283825.80,每股分红0.258元
2025-08-29,000651,格力电器(000651),分红,2025-08-29,2.000,0.0,0.0,0.0,0.00,113600,113600,227200.00,每股分红2.000元
2025-09-26,601225,陕西煤业(601225),分红,2025-09-26,0.039,0.0,0.0,0.0,0.00,530700,530700,20697.30,每股分红0.039元
2025-09-26,603345,安井食品(603345),分红,2025-09-26,1.425,0.0,0.0,0.0,0.00,63900,63900,91057.50,每股分红1.425元
