日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2024-05-17,000933,神火股份(000933),分红,2024-05-17,0.800,0.0,0.0,0.0,0.00,289000,289000,231200.00,每股分红0.800元
2024-05-17,000333,美的集团(000333),分红,2024-05-17,3.000,0.0,0.0,0.0,0.00,90900,90900,272700.00,每股分红3.000元
2024-05-31,002738,中矿资源(002738),分红,2024-05-31,1.000,0.0,0.0,0.0,0.00,186400,186400,186400.00,每股分红1.000元
2024-06-07,600985,淮北矿业(600985),分红,2024-06-07,1.000,0.0,0.0,0.0,0.00,185200,185200,185200.00,每股分红1.000元
2024-06-14,603345,安井食品(603345),分红,2024-06-14,1.775,0.0,0.0,0.0,0.00,77700,77700,137917.50,每股分红1.775元
2024-06-21,000807,云铝股份(000807),分红,2024-06-21,0.230,0.0,0.0,0.0,0.00,429500,429500,98785.00,每股分红0.230元
2024-06-21,601919,中远海控(601919),分红,2024-06-21,0.230,0.0,0.0,0.0,0.00,421500,421500,96945.00,每股分红0.230元
2024-06-28,601225,陕西煤业(601225),分红,2024-06-28,1.315,0.0,0.0,0.0,0.00,222200,222200,292193.00,每股分红1.315元
2024-06-28,600079,人福医药(600079),分红,2024-06-28,0.460,0.0,0.0,0.0,0.00,257000,257000,118220.00,每股分红0.460元
2024-06-28,601668,中国铝业(601668),分红,2024-06-28,0.271,0.0,0.0,0.0,0.00,1052600,1052600,285728.27,每股分红0.271元
2024-07-12,601088,中国神华(601088),分红,2024-07-12,2.260,0.0,0.0,0.0,0.00,37200,37200,84072.00,每股分红2.260元
2024-07-19,600900,长江电力(600900),分红,2024-07-19,0.820,0.0,0.0,0.0,0.00,212400,212400,174168.00,每股分红0.820元
2024-07-26,002460,赣锋锂业(002460),分红,2024-07-26,0.800,0.0,0.0,0.0,0.00,114900,114900,91920.00,每股分红0.800元
2024-07-26,600362,江西铜业(600362),分红,2024-07-26,0.600,0.0,0.0,0.0,0.00,55200,55200,33120.00,每股分红0.600元
2024-08-23,601898,中煤能源(601898),分红,2024-08-23,0.442,0.0,0.0,0.0,0.00,473400,473400,209242.80,每股分红0.442元
2024-08-30,000651,格力电器(000651),分红,2024-08-30,2.380,0.0,0.0,0.0,0.00,148700,148700,353906.00,每股分红2.380元
2024-09-27,603345,安井食品(603345),分红,2024-09-27,1.380,0.0,0.0,0.0,0.00,77700,77700,107226.00,每股分红1.380元
2024-09-30,000807,云铝股份(000807),分红,2024-09-30,0.230,0.0,0.0,0.0,0.00,429500,429500,98785.00,每股分红0.230元
2024-10-11,600079,人福医药(600079),分红,2024-10-11,0.150,0.0,0.0,0.0,0.00,257000,257000,38550.00,每股分红0.150元
2024-10-11,601919,中远海控(601919),分红,2024-10-11,0.520,0.0,0.0,0.0,0.00,421500,421500,219180.00,每股分红0.520元
2024-10-25,601225,陕西煤业(601225),分红,2024-10-25,0.109,0.0,0.0,0.0,0.00,222200,222200,24219.80,每股分红0.109元
