日期,交易类型,股票代码,交易股票数量,交易后持仓数量,交易价格,交易金额,手续费,交易原因,收盘价,EMA20,EMA60,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,趋势过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值
2022/03/18,买入,603345,100,6800,104.69,10469.0,15.68,现金买入,104.69,141.14,163.05,29.31,-19.2291,-14.7017,-4.5274,210.22,150.67,91.13,130132,0.97,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/03/25,买入,603345,100,6900,102.32,10232.0,15.44,现金买入,102.32,137.44,160.46,28.67,-19.8772,-15.7368,-4.1404,205.49,146.04,86.59,98097,0.81,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/08,买入,603345,100,7000,96.22,9622.0,14.81,现金买入,96.22,130.68,155.47,27.84,-20.4877,-17.3645,-3.1232,199.12,138.31,77.51,66938,0.66,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/15,卖出,601225,30100,271200,11.36,341936.0,759.1,转现金,11.36,8.34,7.2,71.14,1.0671,0.6858,0.3813,11.11,7.78,4.45,4185532,1.3,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/04/15,卖出,601898,9600,86500,8.45,81120.0,180.09,转现金,8.45,5.98,5.71,70.41,0.3678,0.0684,0.2994,7.4,5.56,3.72,6529062,2.0,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/05/27,卖出,601225,27100,244100,13.17,356907.0,792.33,转现金,13.17,9.72,8.13,72.58,1.3544,1.0732,0.2812,13.26,9.21,5.16,3264061,1.39,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/08/26,卖出,601225,24400,219700,17.8,434320.0,964.19,转现金,17.8,13.68,10.99,71.36,1.9007,1.7378,0.1629,17.84,13.59,9.33,3658039,1.59,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2023/09/08,买入,002460,2800,16700,45.7,127960.0,153.55,现金买入,45.7,56.66,65.91,25.74,-5.6893,-4.6626,-1.0266,69.85,57.68,45.51,810628,1.02,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2023/11/03,买入,002460,2800,19500,42.11,117908.0,141.49,现金买入,42.11,50.4,60.62,26.89,-5.8246,-5.6644,-0.1603,65.85,51.37,36.9,1348953,0.88,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2023/12/01,卖出,600985,19500,176000,14.42,281190.0,624.24,转现金,14.42,12.02,11.32,77.87,0.7844,0.4771,0.3073,14.13,11.6,9.07,1322435,1.42,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2023/12/01,买入,002460,3500,23000,37.83,132405.0,158.89,现金买入,37.83,47.35,57.76,24.89,-5.6668,-5.6117,-0.0551,60.46,47.58,34.7,1151295,0.87,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2024/01/26,卖出,600985,17600,158400,15.82,278432.0,618.12,转现金,15.82,13.79,12.38,71.54,1.2136,1.0294,0.1842,16.71,13.5,10.29,724885,0.82,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2024/01/26,卖出,601898,8600,77900,11.36,97696.0,216.89,转现金,11.36,8.85,8.2,84.57,0.6744,0.4086,0.2658,10.5,8.58,6.66,2715826,1.39,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2024/01/26,买入,603345,2000,9000,76.4,152800.0,186.42,现金买入,76.4,105.64,123.23,25.14,-13.4314,-11.562,-1.8694,136.64,107.32,77.99,519030,2.18,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
