日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2021-05-21,600985,淮北矿业(600985),分红,2021-05-21,6.500,0.0,0.0,0.0,0.00,124400,124400,808600.00,每股分红6.500元
2021-06-18,601898,中煤能源(601898),分红,2021-06-18,1.340,0.0,0.0,0.0,0.00,316400,316400,423976.00,每股分红1.340元
2021-06-25,002738,中矿资源(002738),分红,2021-06-25,0.500,0.0,0.0,0.0,0.00,44100,44100,22050.00,每股分红0.500元
2021-06-25,000933,神火股份(000933),分红,2021-06-25,1.000,0.0,0.0,0.0,0.00,188400,188400,188400.00,每股分红1.000元
2021-07-09,601225,陕西煤业(601225),分红,2021-07-09,8.000,0.0,0.0,0.0,0.00,146400,146400,1171200.00,每股分红8.000元
2021-07-16,601088,中国神华(601088),分红,2021-07-16,18.100,0.0,0.0,0.0,0.00,80500,80500,1457050.00,每股分红18.100元
2022-05-20,000933,神火股份(000933),分红,2022-05-20,4.500,0.0,0.0,0.0,0.00,188400,188400,847800.00,每股分红4.500元
2022-06-02,002738,中矿资源(002738),分红+转增,2022-06-02,1.000,0.0,4.0,0.0,0.00,44100,61740,44100.00,每股分红1.000元; 10转4.0股
2022-06-10,600985,淮北矿业(600985),分红,2022-06-10,7.000,0.0,0.0,0.0,0.00,124400,124400,870800.00,每股分红7.000元
2022-06-24,000807,云铝股份(000807),分红,2022-06-24,1.130,0.0,0.0,0.0,0.00,197300,197300,222949.00,每股分红1.130元
2022-07-08,601225,陕西煤业(601225),分红,2022-07-08,13.500,0.0,0.0,0.0,0.00,146400,146400,1976400.00,每股分红13.500元
2022-07-15,601088,中国神华(601088),分红,2022-07-15,25.400,0.0,0.0,0.0,0.00,80500,80500,2044700.00,每股分红25.400元
2022-07-29,601898,中煤能源(601898),分红,2022-07-29,3.010,0.0,0.0,0.0,0.00,316400,316400,952364.00,每股分红3.010元
2023-05-19,000933,神火股份(000933),分红,2023-05-19,10.000,0.0,0.0,0.0,0.00,188400,188400,1884000.00,每股分红10.000元
2023-06-02,002738,中矿资源(002738),分红+转增,2023-06-02,10.000,0.0,4.0,0.0,0.00,61740,86436,617400.00,每股分红10.000元; 10转4.0股
2023-06-09,600985,淮北矿业(600985),分红,2023-06-09,10.500,0.0,0.0,0.0,0.00,124400,124400,1306200.00,每股分红10.500元
2023-06-30,000807,云铝股份(000807),分红,2023-06-30,1.600,0.0,0.0,0.0,0.00,197300,197300,315680.00,每股分红1.600元
2023-07-07,601088,中国神华(601088),分红,2023-07-07,25.500,0.0,0.0,0.0,0.00,80500,80500,2052750.00,每股分红25.500元
2023-07-14,601225,陕西煤业(601225),分红,2023-07-14,21.800,0.0,0.0,0.0,0.00,146400,146400,3191520.00,每股分红21.800元
2023-07-28,601898,中煤能源(601898),分红,2023-07-28,4.130,0.0,0.0,0.0,0.00,316400,316400,1306732.00,每股分红4.130元
