日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2025-01-17,601225,陕西煤业(601225),分红,2025-01-17,0.103,0.0,0.0,0.0,0.00,29400,29400,3028.20,每股分红0.103元
2025-01-24,603345,安井食品(603345),分红,2025-01-24,0.950,0.0,0.0,0.0,0.00,10900,10900,10355.00,每股分红0.950元
2025-05-16,000933,神火股份(000933),分红,2025-05-16,0.500,0.0,0.0,0.0,0.00,69300,69300,34650.00,每股分红0.500元
2025-06-13,600985,淮北矿业(600985),分红,2025-06-13,0.750,0.0,0.0,0.0,0.00,78700,78700,59025.00,每股分红0.750元
2025-06-20,603345,安井食品(603345),分红,2025-06-20,1.015,0.0,0.0,0.0,0.00,10900,10900,11063.50,每股分红1.015元
2025-06-27,601225,陕西煤业(601225),分红,2025-06-27,1.136,0.0,0.0,0.0,0.00,29400,29400,33398.40,每股分红1.136元
2025-06-27,000807,云铝股份(000807),分红,2025-06-27,0.180,0.0,0.0,0.0,0.00,64900,64900,11682.00,每股分红0.180元
2025-07-04,002738,中矿资源(002738),分红,2025-07-04,0.500,0.0,0.0,0.0,0.00,42400,42400,21200.00,每股分红0.500元
2025-07-11,601088,中国神华(601088),分红,2025-07-11,2.260,0.0,0.0,0.0,0.00,15600,15600,35256.00,每股分红2.260元
2025-07-18,002460,赣锋锂业(002460),分红,2025-07-18,0.150,0.0,0.0,0.0,0.00,24100,24100,3615.00,每股分红0.150元
