日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2021-05-21,600985,淮北矿业(600985),分红,2021-05-21,0.650,0.0,0.0,0.0,0.00,1244800,1244800,809120.00,每股分红0.650元
2021-06-18,601898,中煤能源(601898),分红,2021-06-18,0.134,0.0,0.0,0.0,0.00,2109700,2109700,282699.80,每股分红0.134元
2021-06-25,002738,中矿资源(002738),分红,2021-06-25,0.050,0.0,0.0,0.0,0.00,294200,294200,14710.00,每股分红0.050元
2021-06-25,000933,神火股份(000933),分红,2021-06-25,0.100,0.0,0.0,0.0,0.00,1256200,1256200,125620.00,每股分红0.100元
2021-07-09,601225,陕西煤业(601225),分红,2021-07-09,0.800,0.0,0.0,0.0,0.00,976500,976500,781200.00,每股分红0.800元
2021-07-16,601088,中国神华(601088),分红,2021-07-16,1.810,0.0,0.0,0.0,0.00,536700,536700,971427.00,每股分红1.810元
2021-07-16,002460,赣锋锂业(002460),分红,2021-07-16,0.300,0.0,0.0,0.0,0.00,40400,40400,12120.00,每股分红0.300元
2021-08-27,000651,安井食品(000651),分红,2021-08-27,3.000,0.0,0.0,0.0,0.00,429000,429000,1287000.00,每股分红3.000元
2022-04-08,000651,安井食品(000651),分红,2022-04-08,1.000,0.0,0.0,0.0,0.00,616100,616100,616100.00,每股分红1.000元
2022-05-20,000933,神火股份(000933),分红,2022-05-20,0.450,0.0,0.0,0.0,0.00,1256200,1256200,565290.00,每股分红0.450元
2022-06-10,600985,淮北矿业(600985),分红,2022-06-10,0.700,0.0,0.0,0.0,0.00,1244800,1244800,871360.00,每股分红0.700元
2022-06-24,000807,云铝股份(000807),分红,2022-06-24,0.113,0.0,0.0,0.0,0.00,1315700,1315700,148674.10,每股分红0.113元
2022-07-08,601225,陕西煤业(601225),分红,2022-07-08,1.350,0.0,0.0,0.0,0.00,976500,976500,1318275.00,每股分红1.350元
2022-07-15,601088,中国神华(601088),分红,2022-07-15,2.540,0.0,0.0,0.0,0.00,536700,536700,1363218.00,每股分红2.540元
2022-07-29,600079,人福医药(600079),分红,2022-07-29,0.150,0.0,0.0,0.0,0.00,799400,799400,119910.00,每股分红0.150元
2022-07-29,601898,中煤能源(601898),分红,2022-07-29,0.301,0.0,0.0,0.0,0.00,2109700,2109700,635019.70,每股分红0.301元
2022-08-05,000651,安井食品(000651),分红,2022-08-05,2.000,0.0,0.0,0.0,0.00,649600,649600,1299200.00,每股分红2.000元
2023-03-03,000651,安井食品(000651),分红,2023-03-03,1.000,0.0,0.0,0.0,0.00,649600,649600,649600.00,每股分红1.000元
2023-05-19,000933,神火股份(000933),分红,2023-05-19,1.000,0.0,0.0,0.0,0.00,1256200,1256200,1256200.00,每股分红1.000元
2023-06-09,600985,淮北矿业(600985),分红,2023-06-09,1.050,0.0,0.0,0.0,0.00,1244800,1244800,1307040.00,每股分红1.050元
2023-06-16,600079,人福医药(600079),分红,2023-06-16,0.160,0.0,0.0,0.0,0.00,799400,799400,127904.00,每股分红0.160元
2023-06-30,000807,云铝股份(000807),分红,2023-06-30,0.160,0.0,0.0,0.0,0.00,1315700,1315700,210512.00,每股分红0.160元
2023-07-07,601088,中国神华(601088),分红,2023-07-07,2.550,0.0,0.0,0.0,0.00,536700,536700,1368585.00,每股分红2.550元
2023-07-14,601225,陕西煤业(601225),分红,2023-07-14,2.180,0.0,0.0,0.0,0.00,976500,976500,2128770.00,每股分红2.180元
2023-07-28,601898,中煤能源(601898),分红,2023-07-28,0.413,0.0,0.0,0.0,0.00,2109700,2109700,871306.10,每股分红0.413元
2023-08-11,000651,安井食品(000651),分红,2023-08-11,1.000,0.0,0.0,0.0,0.00,649600,649600,649600.00,每股分红1.000元
2024-05-17,000933,神火股份(000933),分红,2024-05-17,0.800,0.0,0.0,0.0,0.00,1839000,1839000,1471200.00,每股分红0.800元
2024-05-31,002738,中矿资源(002738),分红,2024-05-31,1.000,0.0,0.0,0.0,0.00,428100,428100,428100.00,每股分红1.000元
2024-06-07,600985,淮北矿业(600985),分红,2024-06-07,1.000,0.0,0.0,0.0,0.00,796800,796800,796800.00,每股分红1.000元
2024-06-21,000807,云铝股份(000807),分红,2024-06-21,0.230,0.0,0.0,0.0,0.00,1315700,1315700,302611.00,每股分红0.230元
2024-06-28,601225,陕西煤业(601225),分红,2024-06-28,1.315,0.0,0.0,0.0,0.00,976500,976500,1284097.50,每股分红1.315元
2024-06-28,600079,人福医药(600079),分红,2024-06-28,0.460,0.0,0.0,0.0,0.00,805700,805700,370622.00,每股分红0.460元
2024-07-12,601088,中国神华(601088),分红,2024-07-12,2.260,0.0,0.0,0.0,0.00,134200,134200,303292.00,每股分红2.260元
2024-08-23,601898,中煤能源(601898),分红,2024-08-23,0.442,0.0,0.0,0.0,0.00,2109700,2109700,932487.40,每股分红0.442元
2024-08-30,000651,安井食品(000651),分红,2024-08-30,2.380,0.0,0.0,0.0,0.00,649600,649600,1546048.00,每股分红2.380元
2024-09-30,000807,云铝股份(000807),分红,2024-09-30,0.230,0.0,0.0,0.0,0.00,1315700,1315700,302611.00,每股分红0.230元
2024-10-11,600079,人福医药(600079),分红,2024-10-11,0.150,0.0,0.0,0.0,0.00,805700,805700,120855.00,每股分红0.150元
2024-10-25,601225,陕西煤业(601225),分红,2024-10-25,0.109,0.0,0.0,0.0,0.00,976500,976500,106438.50,每股分红0.109元
2024-10-25,601898,中煤能源(601898),分红,2024-10-25,0.221,0.0,0.0,0.0,0.00,2109700,2109700,466243.70,每股分红0.221元
2024-12-13,000933,神火股份(000933),分红,2024-12-13,0.300,0.0,0.0,0.0,0.00,1839000,1839000,551700.00,每股分红0.300元
2025-01-17,601225,陕西煤业(601225),分红,2025-01-17,0.103,0.0,0.0,0.0,0.00,976500,976500,100579.50,每股分红0.103元
2025-05-16,000933,神火股份(000933),分红,2025-05-16,0.500,0.0,0.0,0.0,0.00,1839000,1839000,919500.00,每股分红0.500元
2025-05-16,000651,安井食品(000651),分红,2025-05-16,1.000,0.0,0.0,0.0,0.00,649600,649600,649600.00,每股分红1.000元
2025-06-13,600985,淮北矿业(600985),分红,2025-06-13,0.750,0.0,0.0,0.0,0.00,1404200,1404200,1053150.00,每股分红0.750元
2025-06-27,601225,陕西煤业(601225),分红,2025-06-27,1.136,0.0,0.0,0.0,0.00,1552100,1552100,1763185.60,每股分红1.136元
2025-06-27,000807,云铝股份(000807),分红,2025-06-27,0.180,0.0,0.0,0.0,0.00,1315700,1315700,236826.00,每股分红0.180元
2025-07-04,002738,中矿资源(002738),分红,2025-07-04,0.500,0.0,0.0,0.0,0.00,428100,428100,214050.00,每股分红0.500元
2025-07-11,601088,中国神华(601088),分红,2025-07-11,2.260,0.0,0.0,0.0,0.00,147600,147600,333576.00,每股分红2.260元
