日期,股票代码,股票名称,事件类型,映射日期,分红金额(元/股),送股比例(10送X),转增比例(10转X),配股比例(10配X),配股价格(元),事件前持股数,事件后持股数,现金变化(元),备注
2015-06-05,002460,赣锋锂业(002460),分红,2015-06-05,0.100,0.0,0.0,0.0,0.00,314200,314200,31420.00,每股分红0.100元
2015-06-19,601088,中国神华(601088),分红,2015-06-19,0.740,0.0,0.0,0.0,0.00,231900,231900,171606.00,每股分红0.740元
2015-06-19,002738,中矿资源(002738),分红,2015-06-19,0.150,0.0,0.0,0.0,0.00,517500,517500,77625.00,每股分红0.150元
2015-06-26,601225,陕西煤业(601225),分红,2015-06-26,0.030,0.0,0.0,0.0,0.00,709200,709200,21276.00,每股分红0.030元
2015-07-10,600985,淮北矿业(600985),分红+转增,2015-07-10,0.170,0.0,0.5,0.0,0.00,24300,25515,4131.00,每股分红0.170元; 10转0.5股
2015-07-10,601898,中煤能源(601898),分红,2015-07-10,0.024,0.0,0.0,0.0,0.00,1375500,1375500,33012.00,每股分红0.024元
2016-05-27,600985,淮北矿业(600985),分红,2016-05-27,0.050,0.0,0.0,0.0,0.00,38215,38215,1910.75,每股分红0.050元
2016-06-24,002738,中矿资源(002738),分红+转增,2016-06-24,0.100,0.0,0.5,0.0,0.00,517500,543375,51750.00,每股分红0.100元; 10转0.5股
2016-07-08,601088,中国神华(601088),分红,2016-07-08,0.320,0.0,0.0,0.0,0.00,231900,231900,74208.00,每股分红0.320元
2016-07-22,600079,人福医药(600079),分红,2016-07-22,0.100,0.0,0.0,0.0,0.00,804500,804500,80450.00,每股分红0.100元
2016-07-22,600900,长江电力(600900),分红,2016-07-22,0.400,0.0,0.0,0.0,0.00,935400,935400,374160.00,每股分红0.400元
2018-05-25,000807,云铝股份(000807),分红,2018-05-25,0.070,0.0,0.0,0.0,0.00,2888800,2888800,202216.00,每股分红0.070元
2018-06-22,600900,长江电力(600900),分红,2018-06-22,0.680,0.0,0.0,0.0,0.00,935400,935400,636072.00,每股分红0.680元
2018-07-06,600079,人福医药(600079),分红,2018-07-06,0.160,0.0,0.0,0.0,0.00,1206700,1206700,193072.00,每股分红0.160元
2018-07-13,601088,中国神华(601088),分红,2018-07-13,0.910,0.0,0.0,0.0,0.00,231900,231900,211029.00,每股分红0.910元
2018-07-13,601225,陕西煤业(601225),分红,2018-07-13,0.418,0.0,0.0,0.0,0.00,709200,709200,296445.60,每股分红0.418元
2018-07-13,600985,淮北矿业(600985),分红,2018-07-13,0.120,0.0,0.0,0.0,0.00,38215,38215,4585.80,每股分红0.120元
2018-07-13,000933,神火股份(000933),分红,2018-07-13,0.025,0.0,0.0,0.0,0.00,3106600,3106600,77665.00,每股分红0.025元
2018-07-20,601898,中煤能源(601898),分红,2018-07-20,0.055,0.0,0.0,0.0,0.00,1375500,1375500,75652.50,每股分红0.055元
2019-05-31,600985,淮北矿业(600985),分红,2019-05-31,0.500,0.0,0.0,0.0,0.00,38215,38215,19107.50,每股分红0.500元
2019-07-12,601088,中国神华(601088),分红,2019-07-12,0.880,0.0,0.0,0.0,0.00,521700,521700,459096.00,每股分红0.880元
2019-07-12,601225,陕西煤业(601225),分红,2019-07-12,0.330,0.0,0.0,0.0,0.00,709200,709200,234036.00,每股分红0.330元
2019-07-12,000933,神火股份(000933),分红,2019-07-12,0.015,0.0,0.0,0.0,0.00,3178500,3178500,47677.50,每股分红0.015元
2019-07-19,002738,中矿资源(002738),分红,2019-07-19,0.050,0.0,0.0,0.0,0.00,814975,814975,40748.75,每股分红0.050元
