date,open,high,low,close,volume,amount,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2022-05-20,12.8,13.8,11.76,13.5,582294231.0,7569093625.0,,,,,,,,,,,,,,,
2022-05-27,14.19,14.46,13.44,14.01,648609019.0,9071743003.0,,,,,,,,,,,,,,,
2022-06-03,13.98,14.19,13.43,13.5,314307602.0,4335427289.0,,,,,,,,,,,,,,,
2022-06-10,13.65,15.36,13.62,15.14,487007576.0,7090259840.0,,,,,,,,,,,,,,508054607.0,0.9585732897408802
2022-06-17,14.81,15.06,13.21,13.59,480133679.0,6800074181.0,,,,,,,,,,,13.947999999999999,,,482514469.0,0.9950658681698518
2022-06-24,13.35,13.45,12.52,12.68,437173516.0,5627023907.0,,,,,,,,,,,13.783999999999997,,,429655593.25,1.017497555875237
2022-07-01,12.67,13.42,12.37,12.86,425852018.0,5537007268.0,,,,,,,,,,,13.553999999999997,,,457541697.25,0.9307392540604124
2022-07-08,12.77,13.93,12.54,13.11,644510189.0,8602262406.0,,,,,,,,,,,13.475999999999996,,,496917350.5,1.297016874841443
2022-07-15,12.93,13.77,12.15,13.08,527705643.0,6971491021.0,,,,,,,,,,,13.063999999999997,,,508810341.5,1.0371362371375858
2022-07-22,13.29,14.86,13.19,13.84,419765712.0,5923733046.0,,,,,,,,,,,13.113999999999995,13.530999999999997,,504458390.5,0.8321116665022543
2022-07-29,14.06,14.78,13.63,14.36,256295543.0,3656771581.0,,,,,,,,,,,13.449999999999994,13.616999999999996,,462069271.75,0.5546690911285425
2022-08-05,14.48,15.52,13.9,14.47,387666525.0,5707152482.0,,,,,,,,,,,13.771999999999995,13.662999999999997,,397858355.75,0.974383268309679
2022-08-12,14.3,17.16,14.17,16.89,372845361.0,5891627759.0,,,,,,,,,,,14.527999999999995,14.001999999999999,,359143285.25,1.0381521145257162
2022-08-19,16.84,17.54,16.59,16.98,301082752.0,5121184705.0,,,,,,,,,,,15.307999999999996,14.185999999999998,,329472545.25,0.9138325980137187
2022-08-26,17.07,18.94,16.4,18.55,452186137.0,7929298683.0,72.85067873303167,,,,,,,,,,16.249999999999993,14.681999999999999,,378445193.75,1.194852370879132
2022-09-02,18.45,18.91,15.72,16.51,424079553.0,7277546790.0,60.76882875558911,,,,,,,,,,16.679999999999996,15.064999999999998,,387548450.75,1.094262026281626
2022-09-09,16.7,19.81,16.42,19.6,460592825.0,8567168899.0,69.12216061904746,,,,,,,,,,17.705999999999996,15.738999999999995,,409485316.75,1.1248091351739538
2022-09-16,19.31,19.95,17.52,17.72,250745028.0,4722930162.0,60.65942448095466,,,,,,,,,,17.871999999999993,16.199999999999996,,396900885.75,0.631757290050341
2022-09-23,17.72,18.5,17.49,17.53,221739187.0,4004584804.0,59.861754276237754,,,,,,,,,,17.981999999999992,16.644999999999996,,339289148.25,0.6535404628874687
2022-09-30,17.05,17.64,15.65,16.79,283898772.0,4707920536.0,56.73264371240161,15.235499999999998,,,,,,19.386974316432667,15.235499999999998,11.08402568356733,17.629999999999995,16.939999999999994,15.235499999999998,304243953.0,0.9331287251582614
2022-10-07,17.05,17.64,15.65,16.79,0.0,0.0,56.73264371240161,15.383547619047617,,,,,,19.524002909795257,15.4,11.275997090204745,17.685999999999996,17.182999999999996,15.4,189095746.75,0.0
2022-10-14,17.0,17.54,15.06,15.39,309004030.0,4872692662.0,50.89530525539465,15.384162131519272,,,,,,19.543549791081215,15.469,11.394450208918784,16.843999999999998,17.274999999999995,15.469,203660497.25,1.5172506901065224
2022-10-21,15.21,15.48,14.37,14.56,284524227.0,4245652492.0,47.75795968478842,15.305670499946007,,,,,,19.519572263261765,15.522,11.524427736738234,16.211999999999996,17.041999999999994,15.522,219356757.25,1.2970843960632081
2022-10-28,14.55,15.46,13.9,14.93,247914105.0,3653705535.0,49.25953591358359,15.269892357094006,,,,,,19.514130510052045,15.511500000000002,11.508869489947958,15.691999999999997,16.836999999999996,15.511500000000002,210360590.5,1.1785197237312375
2022-11-04,14.63,15.35,13.5,15.26,280445195.0,4014611346.0,50.62271025222992,15.268950227846958,,,,,,19.502349485264816,15.595000000000002,11.68765051473519,15.385999999999996,16.507999999999996,15.595000000000002,280471889.25,0.9999048237950998
2022-11-11,15.39,17.08,15.13,16.72,242751563.0,3883612185.0,56.22592816175506,15.407145444242484,,,,,,19.492652039897585,15.797000000000002,12.10134796010242,15.371999999999996,16.528999999999996,15.797000000000002,263908772.5,0.9198313519494696
2022-11-18,16.86,17.86,15.6,15.87,227556053.0,3779813205.0,52.49129214616747,15.451226830505105,,,,,,19.388882716292862,15.947500000000002,12.506117283707143,15.467999999999998,16.156,15.947500000000002,249666729.0,0.9114392370639021
2022-11-25,15.6,16.26,15.38,15.97,136580206.0,2159640042.0,52.88776287807965,15.500633799028428,,,,,,19.276585215432753,16.090500000000002,12.904414784567253,15.749999999999996,15.980999999999998,16.090500000000002,221833254.25,0.6156886011602113
2022-12-02,15.69,17.7,15.1,16.81,210566695.0,3492854589.0,56.19471844347154,15.6253353419781,,,,,,19.158479481099764,16.277000000000005,13.395520518900245,16.125999999999998,15.908999999999997,16.277000000000005,204363629.25,1.0303530807940964
