date,open,high,low,close,volume,amount,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2021-05-14,19.1,19.43,18.71,19.08,166954735.0,3177007643.0,,,,,,,,,,,,,,,
2021-05-21,19.62,22.85,19.62,22.29,1567843010.0,33312696921.0,,,,,,,,,,,,,,,
2021-05-28,22.59,22.65,20.0,21.67,1269844928.0,26775703974.0,,,,,,,,,,,,,,,
2021-06-04,21.4,23.26,19.8,20.44,1209180531.0,25858782361.0,,,,,,,,,,,,,,,
2021-06-11,20.81,26.48,20.8,25.88,1515537151.0,35683576787.0,,,,,,,,,,,,,,,
2021-06-18,25.41,28.16,24.75,27.57,1225555349.0,32334956189.0,,,,,,,,,,,,,,,
2021-06-25,27.05,30.0,26.2,28.95,1554128761.0,43227051922.0,,,,,,,,,,,,,,,
2021-07-02,29.0,31.09,28.11,30.66,1211998136.0,35925486596.0,,,,,,,,,,,,,,,
2021-07-09,30.09,33.4,28.62,28.8,1631730073.0,49942631515.0,,,,,,,,,,,,,,,
2021-07-16,28.8,31.04,21.06,21.55,1468184800.0,36687670728.0,,,,,,,,,,,,,,,
2021-07-23,21.16,23.0,19.45,19.59,1642885279.0,34820012843.0,,,,,,,,,,,,,,,
2021-07-30,19.2,19.95,16.72,17.66,1655015513.0,30298867412.0,,,,,,,,,,,,,,,
2021-08-06,17.8,20.75,17.51,20.18,1640706926.0,31970222275.0,,,,,,,,,,,,,,,
2021-08-13,20.29,22.65,19.5,21.66,1605862580.0,33856859084.0,,,,,,,,,,,,,,,
2021-08-20,21.41,21.69,19.2,20.0,1224582216.0,25198771320.0,,,,,,,,,,,,,,,
2021-08-27,20.2,22.25,19.86,21.74,1480503309.0,31677228169.0,,,,,,,,,,,,,,,
2021-09-03,21.85,22.45,19.21,19.95,1575696389.0,32853425834.0,,,,,,,,,,,,,,,
2021-09-10,20.0,22.88,19.32,22.42,1605060976.0,34120621625.0,,,,,,,,,,,,,,,
2021-09-17,22.0,23.55,20.3,20.68,1681499377.0,37081319225.0,,,,,,,,,,,,,,,
2021-09-24,20.0,21.98,19.95,21.49,738590181.0,15695271170.0,,,,,,,,,,,,,,,
2021-10-01,21.07,21.1,16.51,17.28,1338615594.0,24329165855.0,,,,,,,,,,,,,,,
2021-10-08,16.9,17.11,15.98,16.8,342406153.0,5653946667.0,,,,,,,,,,,,,,,
2021-10-15,17.45,17.46,15.0,15.05,1303191447.0,21053234281.0,,,,,,,,,,,,,,,
2021-10-22,15.13,16.94,15.13,15.8,1293079621.0,20841473468.0,,,,,,,,,,,,,,,
2021-10-29,15.5,16.63,15.32,16.53,935604697.0,15097301516.0,,,,,,,,,,,,,,,
2021-11-05,16.53,16.89,15.58,15.81,1103876774.0,17865428375.0,,,,,,,,,,,,,,,
2021-11-12,15.6,15.91,15.11,15.18,608283405.0,9380460564.0,,,,,,,,,,,,,,,
2021-11-19,15.01,15.38,14.44,15.19,868164779.0,12991752075.0,,,,,,,,,,,,,,,
2021-11-26,15.36,15.62,14.83,14.9,658377827.0,9994882311.0,,,,,,,,,,,,,,,
2021-12-03,15.42,18.17,15.3,17.44,1928166551.0,32621416700.0,,,,,,,,,,,,,,,
2021-12-10,17.46,19.86,17.46,19.39,1625832847.0,30384043142.0,,,,,,,,,,,,,,,
2021-12-17,19.57,19.76,17.82,18.72,1118671358.0,20942543612.0,,,,,,,,,,,,,,,
2021-12-24,18.95,19.49,18.12,18.36,830840997.0,15623411604.0,,,,,,,,,,,,,,,
2021-12-31,18.33,19.98,18.22,18.69,897084665.0,17119341571.0,,,,,,,,,,,,,,,
2022-01-07,19.21,19.93,18.37,18.67,839476262.0,16073877317.0,,,,,,,,,,,,,,,
2022-01-14,18.56,18.69,17.6,18.29,697595577.0,12687253675.0,,,,,,,,,,,,,,,
2022-01-21,17.98,18.21,16.44,16.7,768432364.0,13450387943.0,,,,,,,,,,,,,,,
2022-01-28,16.3,17.24,15.95,16.12,675312183.0,11224990424.0,,,,,,,,,,,,,,,
2022-02-04,16.3,17.24,15.95,16.12,0.0,0.0,,,,,,,,,,,,,,,
2022-02-11,16.3,17.49,16.21,17.07,626226009.0,10593225129.0,,,,,,,,,,,,,,,
2022-02-18,16.97,16.97,15.97,16.89,658292889.0,10852883459.0,,,,,,,,,,,,,,,
2022-02-25,16.7,16.83,16.06,16.25,691951491.0,11348269165.0,,,,,,,,,,,,,,,
2022-03-04,16.36,18.66,16.31,18.24,1078561415.0,19132220238.0,,,,,,,,,,,,,,,
2022-03-11,18.0,18.26,15.65,16.94,750195350.0,12686852042.0,,,,,,,,,,,,,,,
2022-03-18,16.6,16.83,14.87,16.44,968429245.0,15435466623.0,,,,,,,,,,,,,,,
2022-03-25,16.6,16.66,15.72,15.77,574490890.0,9334694347.0,,,,,,,,,,,,,,,
2022-04-01,15.2,17.05,14.91,17.05,986618020.0,15872073285.0,,,,,,,,,,,,,,,
2022-04-08,16.48,16.65,15.18,15.58,665188490.0,10609801644.0,,,,,,,,,,,,,,,
2022-04-15,15.39,15.64,14.86,15.11,586979214.0,8952027701.0,,,,,,,,,,,,,,,
2022-04-22,15.01,15.47,14.26,14.77,448148515.0,6688961419.0,,,,,,,,,,,,,,,
2022-04-29,14.42,14.55,13.12,14.43,741684921.0,10318833061.0,,,,,,,,,,,,,,,
2022-05-06,14.88,15.16,14.5,14.54,298937327.0,4436227041.0,,,,,,,,,,,,,,,
2022-05-13,14.46,14.61,13.73,14.42,516110645.0,7354490839.0,,,,,,,,,,,,,,,
2022-05-20,14.52,14.78,13.79,14.57,518655612.0,7394691116.0,,,,,,,,,,,,,,,
2022-05-27,15.02,15.73,14.82,15.48,803269022.0,12248182913.0,,,,,,,,,,,,,,,
2022-06-03,15.48,15.63,15.15,15.29,385380772.0,5914098150.0,,,,,,,,,,,,,,,
2022-06-10,15.35,16.16,14.32,14.79,815902496.0,12481873107.0,,,,,,,,,,,,,,630801975.5,1.29343681169242
2022-06-17,14.53,15.79,14.21,14.99,766866613.0,11452052528.0,,,,,,,,,,,15.024,,,692854725.75,1.1068216532259108
2022-06-24,15.0,15.05,13.41,13.67,557191366.0,7813413194.0,,,,,,,,,,,14.844,,,631335311.75,0.8825601160428043
2022-07-01,13.67,14.29,13.63,13.88,508831551.0,7103199600.0,,,,,,,,,,,14.523999999999996,,,662198006.5,0.7683978900652277
2022-07-08,13.82,15.34,13.66,14.84,933651441.0,13603658084.0,,,,,,,,,,,14.433999999999996,,,691635242.75,1.3499188348004407
2022-07-15,14.91,15.08,14.18,14.2,640916833.0,9316970164.0,,,,,,,,,,,14.315999999999995,,,660147797.75,0.9708686981679778
2022-07-22,14.23,14.8,14.1,14.29,509086047.0,7335654407.0,,,,,,,,,,,14.175999999999997,14.6,,648121468.0,0.7854793771466307
2022-07-29,14.23,14.23,13.7,13.72,399889517.0,5544567244.0,,,,,,,,,,,14.185999999999996,14.515,,620885959.5,0.6440627475648368
2022-08-05,13.73,13.75,12.74,13.22,462913774.0,6055404820.0,,,,,,,,,,,14.053999999999997,14.289,,503201542.75,0.9199371120171312
2022-08-12,13.19,13.92,13.13,13.77,385050065.0,5220867918.0,,,,,,,,,,,13.839999999999996,14.137000000000004,,439234850.75,0.8766382365664321
2022-08-19,13.65,13.71,13.28,13.58,419132271.0,5655139373.0,,,,,,,,,,,13.715999999999994,14.016000000000004,,416746406.75,1.0057249785753553
2022-08-26,13.53,14.1,13.5,13.78,637050151.0,8797666795.0,44.38122332859174,,,,,,,,,,13.613999999999994,13.895000000000003,,476036565.25,1.3382378529377057
2022-09-02,13.53,15.14,13.26,13.33,1209718224.0,17044254775.0,41.51909100214966,,,,,,,,,,13.535999999999992,13.861000000000004,,662737677.75,1.8253349169870705
2022-09-09,13.25,13.49,13.05,13.29,533137343.0,7083265067.0,41.26435072506867,,,,,,,,,,13.549999999999994,13.802000000000003,,699759497.25,0.7618865411547653
2022-09-16,13.29,13.37,12.54,12.56,359316596.0,4675893343.0,36.82389945553636,,,,,,,,,,13.307999999999996,13.574000000000003,,684805578.5,0.5246986988439084
2022-09-23,12.5,12.6,11.93,11.97,403308123.0,4944542583.0,33.670257631522965,,,,,,,,,,12.985999999999995,13.351000000000004,,626370071.5,0.6438815348156366
2022-09-30,11.7,11.7,10.92,11.02,490291765.0,5513490338.0,29.316615749487003,13.812,,,,,,15.95779216141729,13.812,11.666207838582713,12.433999999999994,13.024000000000006,13.812,446513456.75,1.0980447679419238
2022-10-07,11.7,11.7,10.92,11.02,0.0,0.0,29.316615749487003,13.54609523809524,,,,,,16.068126717473334,13.6345,11.200873282526668,11.971999999999994,12.754000000000008,13.6345,313229121.0,0.0
2022-10-14,11.16,11.44,10.88,11.39,555724107.0,6239238070.0,33.21710419071361,13.34075283446712,,,,,,15.896098132678464,13.429999999999998,10.963901867321532,11.591999999999995,12.571000000000009,13.429999999999998,362330998.75,1.5337470680598233
2022-10-21,11.33,11.85,11.25,11.39,464920630.0,5337836187.0,33.21710419071361,13.154966850232157,,,,,,15.698724822296532,13.235,10.771275177703464,11.357999999999992,12.333000000000007,13.235,377734125.5,1.230814476676135
2022-10-28,11.44,11.56,11.06,11.25,426832184.0,4839097374.0,32.4317461920202,12.973541435924332,,,,,,15.557812792990768,13.057999999999998,10.558187207009228,11.213999999999997,12.100000000000009,13.057999999999998,361869230.25,1.1795205237679918
2022-11-04,11.29,11.65,11.12,11.62,506862710.0,5770109408.0,36.69188414497451,12.844632727741065,,,,,,15.29834598926545,12.889499999999998,10.480654010734549,11.333999999999993,11.884000000000007,12.889499999999998,488584907.75,1.0374096742655678
2022-11-11,11.55,12.29,11.53,11.97,505159484.0,6014372722.0,40.512701003545175,12.761334372718103,,,,,,15.21715393291294,12.8045,10.39184606708706,11.523999999999992,11.748000000000008,12.8045,475943752.0,1.061384841963426
2022-11-18,12.03,12.2,11.8,11.82,367551890.0,4423443885.0,39.414797845194,12.671683480078286,,,,,,15.097532345357669,12.7015,10.30546765464233,11.609999999999992,11.601000000000008,12.7015,451601567.0,0.8138853291445731
2022-11-25,11.74,12.62,11.64,12.43,590169769.0,7273343506.0,45.842486227576664,12.648666005785117,,,,,,14.768006172830852,12.581,10.393993827169147,11.817999999999993,11.588000000000008,12.581,492435963.25,1.1984700814801832
2022-12-02,12.26,12.74,12.16,12.55,435648735.0,5445056987.0,47.032987395529894,12.639269243329393,,,,,,14.555617157577611,12.4985,10.441382842422389,12.077999999999992,11.646000000000008,12.4985,474632469.5,0.917865428504992
2022-12-09,12.61,13.5,12.61,13.3,665798867.0,8778119357.0,53.85976301073079,12.702195982059925,,,,,,14.37475076268969,12.449000000000002,10.523249237310312,12.413999999999993,11.874000000000008,12.449000000000002,514792315.25,1.293334898903194
2022-12-16,13.33,13.38,10.69,11.14,572337026.0,6766255260.0,38.47815952923131,12.553415412339932,,,,,,14.233520316066674,12.320000000000002,10.40647968393333,12.247999999999994,11.886000000000008,12.320000000000002,565988599.25,1.0112165276092353
2022-12-23,11.15,11.15,10.65,10.69,250096562.0,2706167816.0,36.16117490356489,12.375947277831369,,,,,,14.185215592146614,12.193500000000002,10.20178440785339,12.021999999999991,11.816000000000008,12.193500000000002,480970297.5,0.519983382133904
2022-12-30,10.7,10.75,10.13,10.29,272701003.0,2829261182.0,34.190364900287065,12.177285632323615,,,,,,14.037771289990536,12.0195,10.001228710009466,11.593999999999992,11.706000000000008,12.0195,440233364.5,0.6194464686013138
2023-01-06,10.29,10.34,10.11,10.26,195050054.0,1994956626.0,34.040519178719755,11.994687000673748,,,-0.9610171744452192,-0.9520507652060886,-0.0089664092391306,13.87719241734017,11.8535,9.82980758265983,11.135999999999992,11.60700000000001,11.8535,322546161.25,0.6047198120234953
2023-01-13,10.23,10.28,9.98,10.13,262813440.0,2665523050.0,33.358257852963526,11.817097762514344,,,-0.9953754782362214,-0.9607157078121152,-0.0346597704241062,13.623924985758617,11.671,9.718075014241384,10.501999999999992,11.458000000000007,11.671,245165264.75,1.071984811013078
2023-01-20,10.09,10.43,10.04,10.42,277066896.0,2842726086.0,36.41963559473937,11.684040832751071,,,-0.9878171637905808,-0.9661359990078082,-0.0216811647827726,13.394130246999229,11.525499999999996,9.656869753000766,10.357999999999992,11.303000000000008,11.525499999999996,251907848.25,1.099874013155126
2023-01-27,10.09,10.43,10.04,10.42,0.0,0.0,36.41963559473937,11.563655991536685,,,-0.9706382318027948,-0.9670364455668056,-0.0036017862359892,13.123018092956066,11.381999999999998,9.64098190704393,10.303999999999991,11.16300000000001,11.381999999999998,183732597.5,0.0
2023-02-03,10.5,10.93,10.37,10.65,454878411.0,4843953936.0,38.997257098302526,11.476641135199856,,,-0.9277699719057786,-0.9591831508346002,0.0314131789288215,12.9670627033825,11.286499999999998,9.605937296617498,10.375999999999992,10.98500000000001,11.286499999999998,248689686.75,1.8291004220744993
2023-02-10,10.59,10.93,10.52,10.83,287852505.0,3100074367.0,41.01276060251474,11.415056265180825,,,-0.8692518768650306,-0.9411968960406862,0.0719450191756556,12.89068602209396,11.229499999999998,9.568313977906037,10.489999999999991,10.813000000000011,11.229499999999998,254949453.0,1.129057158636069
2023-02-17,10.82,10.84,10.53,10.57,282323348.0,3025819686.0,39.00795220518765,11.334574716115982,,,-0.8342391029514538,-0.9198053374228398,0.085566234471386,12.89096080714501,11.206999999999995,9.523039192854984,10.577999999999992,10.540000000000012,11.206999999999995,256263566.0,1.1016913266554638
2023-02-24,10.56,10.92,10.46,10.72,323123703.0,3473869566.0,40.80573048749885,11.276043790771602,,,-0.7853346321878085,-0.8929111963758335,0.1075765641880249,12.88766034334725,11.191999999999997,9.496339656652744,10.637999999999993,10.498000000000012,11.191999999999997,337044491.75,0.9586974743965684
2023-03-03,10.69,11.31,10.64,11.28,467257601.0,5147731191.0,47.077430641822446,11.27642057260288,,,-0.693397116550333,-0.8530083804107333,0.1596112638604003,12.880268284034305,11.186499999999995,9.492731715965691,10.809999999999992,10.557000000000013,11.186499999999995,340139289.25,1.3737242822794544
2023-03-10,11.33,11.56,10.95,10.95,465430491.0,5229050099.0,44.11145486824495,11.245332899021651,,,-0.639789124338062,-0.8103645291961991,0.170575404858137,12.858554013306724,11.164499999999997,9.470445986693267,10.86999999999999,10.623000000000012,11.164499999999997,384533785.75,1.210376066415641
2023-03-17,10.91,11.38,10.72,11.11,480171484.0,5333486650.0,45.89142085340989,11.23244405149578,,,-0.5777339837234567,-0.7638384201016506,0.1861044363781938,12.851239944619769,11.157499999999995,9.463760055380224,10.925999999999991,10.70800000000001,11.157499999999995,433995819.75,1.1063965645489378
2023-03-24,11.2,11.5,11.0,11.35,457978282.0,5156262504.0,48.53896585382629,11.24363985611523,,,-0.5033861216040538,-0.7117479604021313,0.2083618387980774,12.82704961305383,11.143999999999997,9.46095038694616,11.08199999999999,10.83000000000001,11.143999999999997,467709464.5,0.9791939585605712
2023-03-31,11.36,11.52,11.0,11.03,495096207.0,5546640457.0,45.35255070397439,11.223293203151876,,,-0.4649268436289766,-0.6623837370475003,0.1974568934185236,12.737110971855405,11.096999999999996,9.45688902814459,11.143999999999991,10.89100000000001,11.096999999999996,474669116.0,1.0430343797636077
2023-04-07,11.0,11.0,10.67,10.82,329356980.0,3550956385.0,43.34173560640811,11.18488432666122,,,-0.4462487558293695,-0.6191567408038742,0.1729079849745046,12.656585039692072,11.046999999999995,9.437414960307915,11.05199999999999,10.931000000000012,11.046999999999995,440650738.25,0.7474331741914425
2023-04-14,10.83,11.23,10.66,11.09,429232243.0,4693495964.0,46.618820828533245,11.175847724122058,,,-0.4049910089113933,-0.576323594425378,0.1713325855139846,12.460081078860426,10.979999999999997,9.499918921139564,11.079999999999991,10.975000000000012,10.979999999999997,427915928.0,1.0030761065757758
2023-04-21,11.17,11.73,11.15,11.37,631815023.0,7270281193.0,49.85779053541142,11.194338417062816,,,-0.3457150988313682,-0.530201895306576,0.1844867964752078,12.23025780501798,10.920999999999996,9.61174219498201,11.131999999999993,11.029000000000012,10.920999999999996,471375113.25,1.3403656774406514
2023-04-28,11.45,11.53,10.95,11.11,370542419.0,4134507288.0,47.00566322039762,11.186306186866355,12.224200000000003,,-0.3160748262748658,-0.487376481500234,0.1713016552253681,11.547306360396908,10.811499999999995,10.075693639603085,11.083999999999993,11.08300000000001,10.811499999999995,440236666.25,0.8416891354287553
2023-05-05,11.05,11.1,10.77,10.82,204507716.0,2232357356.0,43.98338876993751,11.151419883355274,12.169133333333336,,-0.3123843013229077,-0.4523780454647687,0.139993744141861,11.515790913451342,10.795499999999995,10.075209086548648,11.041999999999993,11.093000000000012,10.795499999999995,409024350.25,0.4999890981429412
2023-05-12,10.84,11.58,10.84,11.23,523366600.0,5903528748.0,48.978105237570425,11.158903703988106,12.1323045751634,,-0.2732263766303706,-0.4165477116978891,0.1433213350675184,11.565086695275806,10.822499999999994,10.079913304724183,11.123999999999992,11.088000000000012,10.822499999999994,432557939.5,1.2099340971638783
2023-05-19,11.21,11.4,10.93,11.11,278596042.0,3101092374.0,47.63922788828358,11.154246208370193,12.092214199666795,,-0.2490060495734791,-0.3830393792730071,0.1340333296995279,11.573803456277972,10.863499999999997,10.15319654372202,11.127999999999991,11.104000000000012,10.863499999999997,344253194.25,0.8092765634519599
2023-05-26,11.1,11.24,10.77,10.98,234105491.0,2576022008.0,46.16686130026303,11.137651331382552,12.04859795654261,,-0.2375627044482957,-0.3539440443080648,0.1163813398597691,11.554648074865812,10.899499999999996,10.24435192513418,11.049999999999992,11.091000000000012,10.899499999999996,310143962.25,0.7548284651477203
2023-06-02,10.98,11.03,10.26,10.52,239078290.0,2535366795.0,41.30249080652698,11.078827395060406,11.988652938638978,,-0.2625850100687543,-0.3356722374602027,0.0730872273914484,11.50044303246349,10.918999999999995,10.337556967536504,10.931999999999992,11.008000000000012,10.918999999999995,318786605.75,0.7499634102804522
2023-06-09,10.57,10.77,10.41,10.66,208155441.0,2205836451.0,43.26190362063574,11.03893907172132,11.936548901829608,,-0.2680288676338573,-0.3221435634949336,0.0541146958610763,11.479740375770106,10.930999999999996,10.382259624229889,10.899999999999991,10.971000000000013,10.930999999999996,239983816.0,0.8673728273409904
2023-06-16,10.66,10.82,10.49,10.79,191854044.0,2043181053.0,45.09472581824027,11.01523058870024,11.891586199797072,,-0.2588691678044217,-0.3094886843568313,0.0506195165524095,11.450996759710788,10.949499999999995,10.448003240289207,10.81199999999999,10.968000000000012,10.949499999999995,218298316.5,0.8788617662106433
2023-06-23,10.85,10.85,10.63,10.66,114204968.0,1225092193.0,43.57870697672356,10.981399104062124,11.843288701765816,,-0.259113059188147,-0.2994135593230944,0.0403005001349474,11.45031989766581,10.949999999999998,10.449680102334185,10.72199999999999,10.925000000000011,10.949999999999998,188323185.75,0.6064307352553375
2023-06-30,10.66,10.91,9.3,9.4,297826375.0,3017047860.0,32.25887574339952,10.830789665580015,11.747473458559314,,-0.3568641073185521,-0.3109036689221859,-0.0459604383963661,11.719624842101574,10.878499999999995,10.03737515789842,10.40599999999999,10.728000000000012,10.878499999999995,203010207.0,1.4670512355075822
2023-07-07,9.4,10.24,9.4,10.01,518100243.0,5176386030.0,40.33870627264141,10.752619221239064,11.679337244498164,11.956500000000002,-0.3807218902433025,-0.3248673131864092,-0.0558545770568932,11.764928236659612,10.850499999999997,9.93607176334038,10.30399999999999,10.618000000000013,10.850499999999997,280496407.5,1.8470833463348368
