date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2023-05-12,12.94,13.6,12.61,12.62,8079669,10608856549.92,4.16,,12.62,12.62,12.62,,,,,,,,,,,
2023-05-19,12.68,12.92,12.32,12.34,4056849,5099344654.11,2.09,,12.473,12.4772,12.477666666666666,,,,,,,,,,,
2023-05-26,12.31,12.45,11.81,12.1,3462116,4193002059.95,1.78,,12.336036636136551,12.346404479402747,12.347558559392647,,,,,,,,,,,
2023-06-02,12.11,12.13,11.5,11.93,4474523,5271499466.56,2.31,,12.218820137157106,12.235975709716113,12.237892425715078,,,,,,,,,,,
2023-06-09,11.88,12.2,11.82,11.88,4183499,5003153116.27,2.16,,12.136862429275585,12.15897340275065,12.161463874522427,,,,,,,12.174,,,,
2023-06-16,11.82,11.9,11.39,11.63,4445269,5177012599.83,2.29,,12.029937608857798,12.061764799877794,12.065343943574232,,,,,,,11.976,,,,
2023-06-21,11.63,11.63,11.34,11.35,2115131,2420406968.37,1.09,,11.90137823670951,11.947484448439521,11.95265391120462,,,,,,,11.778,,,,
2023-06-30,11.3,11.33,11.15,11.23,2508635,2817565513.07,1.29,,11.785327134959614,11.844751702360329,11.851438513186194,,,,,,,11.604000000000001,,,,
2023-07-07,11.24,11.53,11.18,11.2,3006410,3407108253.17,1.55,,11.691437800401943,11.76112748893148,11.769037104051382,,,,,,,11.458000000000002,,,,
2023-07-14,11.25,11.55,11.17,11.46,3646152,4134088306.78,1.88,,11.65658527303157,11.725312025170002,11.733295683928967,,,,,,,11.374,11.774,,,
2023-07-21,11.41,11.44,11.22,11.34,2393677,2706406007.35,1.23,,11.611410826073007,11.682867594458788,11.691290282560661,,,,,,,11.315999999999999,11.645999999999999,,,
2023-07-28,11.33,12.3,11.24,12.26,6673682,7868845220.93,3.44,,11.69976693240949,11.742230936621253,11.747844573341895,,,,,,,11.498,11.638000000000002,,,
2023-08-04,12.3,12.53,11.93,12.3,6407566,7847066205.24,3.3,,11.778315850774105,11.796169730991537,11.79932139973008,,,,,,,11.712,11.658,,,
2023-08-11,12.21,12.27,11.89,11.89,3369359,4076047595.76,1.74,,11.792428511916341,11.804750258344704,11.807293418513172,,,,,,,11.85,11.654,,,
2023-08-18,11.76,11.85,11.46,11.56,3886514,4528394282.98,2.0,34.85714285714289,11.76394485068496,11.783479507507742,11.786688503636357,,,,,,,11.870000000000001,11.622,,,
2023-08-25,11.56,11.58,11.05,11.23,4136737,4658692823.34,2.13,31.644054269752626,11.700250441196728,11.737567375828327,11.742535519809483,,,,,,,11.848,11.582,,,
2023-09-01,11.84,11.93,11.12,11.32,7283388,8276660555.27,3.75,33.44590555887629,11.655955659248901,11.704380852796273,11.71051261688635,,,,,,,11.66,11.579,,,
2023-09-08,11.35,11.59,11.23,11.27,3868118,4415000875.68,1.99,32.92662502263265,11.611931807502975,11.671194165875205,11.678503678488715,,,,,,,11.454,11.583,,,
2023-09-15,11.3,11.4,11.2,11.22,3082315,3481006287.81,1.59,32.38513619956304,11.5680523824344,11.637958776590025,11.646465031396918,,,,,,,11.32,11.584999999999999,,,
2023-09-22,11.22,11.25,11.03,11.24,3319276,3702090424.47,1.71,32.860759777770895,11.531928634154804,11.60962086326062,11.619078424106538,,,,12.561635488041919,11.668500000000002,10.775364511958085,11.256,11.563,11.6685,4219944.25,0.7865686851194776
2023-09-28,11.24,11.32,11.14,11.2,2217199,2485463863.76,1.14,32.37032313361717,11.495913866180182,11.581356753046618,11.591786019355371,,,,12.39772184424078,11.5975,10.797278155759221,11.25,11.549000000000001,11.5975,3926820.75,0.5646295415954498
2023-10-13,11.16,11.2,10.95,11.0,3778233,4181456572.31,1.95,29.962430906685846,11.44281077787243,11.542402989809226,11.554453326444255,,,,12.294397244398805,11.5305,10.766602755601195,11.186,11.423,11.5305,3912889.95,0.9655863181125244
2023-10-20,11.0,11.05,10.51,10.6,3362074,3637672825.37,1.73,25.824882865482923,11.353617854197376,11.480964675768018,11.496012479807296,,,,12.273631407537955,11.4555,10.637368592462046,11.052,11.253,11.4555,3907887.85,0.860330216487661
2023-10-27,10.59,10.61,10.3,10.45,4222270,4409035367.24,2.18,24.460764721987804,11.258991916695148,11.415454531532259,11.433736790916718,,,,12.278501114826648,11.381499999999999,10.48449888517335,10.898,11.109,11.381499999999999,3895275.2,1.0839465206463461
2023-11-03,10.4,10.6,10.35,10.48,3350739,3506266398.91,1.73,25.310508139006338,11.178182821401723,11.357425024272699,11.37843416463648,,,,12.25904999868093,11.311499999999999,10.363950001319068,10.745999999999999,11.001,11.311499999999999,3853637.2,0.8695003774615835
2023-11-10,10.51,10.69,10.29,10.3,4209928,4422933201.4,2.17,23.595447878891623,11.087851688447634,11.293292622358594,11.317437937808974,,,,12.276746092796124,11.245000000000001,10.213253907203878,10.565999999999999,10.908,11.245000000000001,3841870.15,1.0958017412431287
2023-11-17,10.31,10.45,10.12,10.15,4302026,4420551374.75,2.22,22.242839171944105,10.992112779929393,11.225407430364326,11.252940952031448,,,,12.319768698898654,11.185,10.050231301101347,10.396,10.791,11.185,3951214.9,1.0887856289466817
2023-11-24,10.15,10.35,10.07,10.1,3949534,4022781388.55,2.04,21.7943506669176,10.901662190340456,11.159904819248439,11.1906440467434,,,,12.357308772755216,11.1285,9.899691227244785,10.296000000000001,10.674000000000001,11.128499999999999,4023259.85,0.981675096128827
2023-12-01,10.09,10.09,9.58,9.66,4769781,4680144513.79,2.46,18.29788448710467,10.77654070392784,11.074231901101367,11.109659309116456,,,,12.435888312577124,11.0515,9.667111687422878,10.138,10.518,11.0515,4111428.4,1.1601274632436747
2023-12-08,9.67,9.68,9.3,9.3,3752404,3558544438.78,1.93,16.031680706096058,10.62856913121812,10.974672160556638,11.01580079780163,,,,12.508763875517474,10.943500000000002,9.37823612448253,9.902000000000001,10.324,10.9435,4116741.0,0.9114986830602168
2023-12-15,9.22,9.5,9.13,9.21,4781821,4429172187.81,2.46,15.514363719530976,10.487111208498563,10.877294404792407,10.923895810188837,,,,12.561599663690084,10.837000000000002,9.11240033630992,9.684000000000001,10.125,10.837,4236148.2,1.1288134348085366
2023-12-22,9.18,9.28,8.99,9.2,4036822,3687012893.27,2.08,15.454690404092878,10.359334625008403,10.786192845643887,10.837719747170075,,,,12.419389293501604,10.684000000000001,8.948610706498398,9.494,9.944999999999999,10.684000000000001,4104305.2,0.9835579478836027
2023-12-29,9.18,9.48,9.02,9.39,4112846,3808874851.58,2.12,21.62309158977449,10.26349177626992,10.711487176400203,10.7665733650156,,,,12.19364077951088,10.538500000000003,8.883359220489126,9.352,9.824000000000002,10.538499999999999,3989569.2,1.030899777349394
2024-01-05,9.39,9.44,9.07,9.27,4747793,4389545640.5,2.45,20.600789415809214,10.165616344283956,10.63544468127574,10.694209774422015,-0.6984962037322759,-0.5965267346705946,-0.10196946906168136,12.028411780449485,10.407500000000002,8.78658821955052,9.274000000000001,9.706,10.4075,4058490.9,1.16984197254206
