date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2021-05-14,29.01,30.82,26.08,26.56,4021682,11477821360.0,19.38,,,,,,,,,,,,,,,
2021-05-21,26.12,27.67,24.6,25.77,2467150,6485271104.0,11.89,,,,,,,,,,,,,,,
2021-05-28,25.28,26.63,24.8,25.82,2593485,6631084784.0,12.5,,,,,,,,,,,,,,,
2021-06-04,26.08,26.38,24.31,24.8,1867459,4787194208.0,9.0,,,,,,,,,,,,,,2737444.0,0.6821907589707771
2021-06-11,24.84,25.15,23.63,24.61,1640214,4001257344.0,7.9,,,,,,,,,,,25.512,,,2142077.0,0.7657119702046191
2021-06-18,24.13,24.14,21.42,22.27,1444816,3272277232.0,6.96,,,,,,,,,,,24.654,,,1886493.5,0.7658738288788167
2021-06-25,21.98,23.55,21.9,23.47,1550429,3523097952.0,7.47,,,,,,,,,,,24.194,,,1625729.5,0.9536820239775436
2021-07-02,23.2,23.21,21.63,22.06,1127839,2532605952.0,5.43,,,,,,,,,,,23.442,,,1440824.5,0.7827733356838393
2021-07-09,22.06,24.85,22.05,24.4,2433588,5706243056.0,11.73,,,,,,,,,,,23.362000000000002,,,1639168.0,1.4846483093862253
2021-07-16,25.37,25.67,23.22,24.89,2817749,6940507376.0,13.58,,,,,,,,,,,23.418,24.465000000000003,,1982401.25,1.4213817712231567
2021-07-23,24.58,26.76,23.41,25.87,2971150,7425357184.0,14.32,,,,,,,,,,,24.138,24.396000000000004,,2337581.5,1.2710358975719136
2021-07-30,26.72,28.2,24.55,25.82,3892538,10251826256.0,18.76,,,,,,,,,,,24.608000000000004,24.401000000000003,,3028756.25,1.28519355098318
2021-08-06,25.67,26.58,23.58,24.78,2913187,7226861312.0,14.04,,,,,,,,,,,25.152000000000005,24.297000000000004,,3148656.0,0.9252160286801734
2021-08-13,24.01,25.5,23.68,25.27,2333767,5762186160.0,11.25,,,,,,,,,,,25.326,24.344,,3027660.5,0.7708152879095922
2021-08-20,25.8,25.97,22.4,22.7,2044595,4867847520.0,9.85,37.098930481283425,,,,,,,,,,24.888,24.153000000000002,,2796021.75,0.7312514646926477
2021-08-27,23.0,25.47,22.85,25.42,2703915,6614168080.0,13.03,47.398520811833514,,,,,,,,,,24.798000000000002,24.468,,2498866.0,1.0820568209739938
2021-09-03,26.02,28.0,24.5,26.3,4295188,11162564224.0,20.7,50.237502190402296,,,,,,,,,,24.894000000000002,24.751,,2844366.25,1.51006854338818
2021-09-10,26.85,29.59,25.01,28.58,4447405,12106800128.0,21.43,56.75052090742493,,,,,,,,,,25.654000000000003,25.403000000000002,,3372775.75,1.3186186481564925
2021-09-17,29.35,31.22,25.66,26.29,4559563,13117614336.0,21.97,49.71277646215281,,,,,,,,,,25.858000000000004,25.592000000000002,,4001517.75,1.1394583967545815
