date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2021-05-14,223.22,239.0,214.51,230.4,92694,2094992624.0,3.86,,,,,,,,,,,,,,,
2021-05-21,227.22,262.94,227.22,251.88,80274,2001515008.0,3.34,,,,,,,,,,,,,,,
2021-05-28,254.35,260.0,242.29,248.45,84906,2122471648.0,3.53,,,,,,,,,,,,,,,
2021-06-04,244.5,249.8,229.5,232.49,89251,2120881520.0,3.71,,,,,,,,,,,,,,86781.25,1.028459488656824
2021-06-11,232.59,239.26,220.0,230.62,101416,2321835472.0,4.22,,,,,,,,,,,238.76800000000003,,,88961.75,1.139995559889503
2021-06-18,231.65,241.6,224.5,232.62,86849,2034143712.0,3.61,,,,,,,,,,,239.21200000000005,,,90605.5,0.958540044478536
2021-06-25,237.95,254.48,233.51,249.82,69130,1676429611.0,2.88,,,,,,,,,,,238.80000000000004,,,86661.5,0.7977014014297006
2021-07-02,248.0,255.5,234.5,237.69,78714,1924128314.0,3.28,,,,,,,,,,,236.64800000000005,,,84027.25,0.9367675367217182
2021-07-09,237.38,237.5,182.01,198.0,199726,4026586240.0,8.31,,,,,,,,,,,229.75000000000006,,,108604.75,1.8390171700593205
2021-07-16,196.0,211.1,185.0,190.72,153690,3040387216.0,6.39,,,,,,,,,,,221.77000000000004,230.269,,125315.0,1.2264293979172485
2021-07-23,188.0,194.0,170.0,172.01,124901,2276091952.0,5.2,,,,,,,,,,,209.64800000000005,224.43,,139257.75,0.8969051991720389
2021-07-30,174.97,175.0,157.46,161.65,125920,2076839120.0,5.24,,,,,,,,,,,192.01400000000007,215.407,,151059.25,0.833580201146239
2021-08-06,161.0,188.0,158.01,165.5,147469,2537298912.0,6.14,,,,,,,,,,,177.57600000000008,207.112,,137995.0,1.0686546614007755
2021-08-13,166.9,193.5,166.9,177.61,119556,2175813232.0,4.97,,,,,,,,,,,173.49800000000008,201.62399999999997,,129461.5,0.9234869053734122
2021-08-20,175.32,188.3,157.8,163.16,99427,1703460384.0,4.14,31.376024817194764,,,,,,,,,,167.98600000000005,194.878,,123093.0,0.8077388641108755
2021-08-27,162.0,169.89,149.0,155.16,110599,1772098736.0,4.6,29.94680245326912,,,,,,,,,,164.61600000000004,187.132,,119262.75,0.9273557753783138
2021-09-03,155.16,163.73,147.36,158.72,96089,1487710302.0,4.0,31.443369040868735,,,,,,,,,,164.03000000000006,178.022,,106417.75,0.9029414735793606
2021-09-10,156.21,181.45,156.0,166.4,85546,1460490098.0,3.56,34.68509491350698,,,,,,,,,,164.21000000000006,170.893,,97915.25,0.8736739169843308
2021-09-17,165.38,180.5,164.58,179.3,76314,1316794100.0,3.17,39.83155688217888,,,,,,,,,,164.54800000000006,169.023,,92137.0,0.8282666029933685
2021-09-24,176.0,186.0,167.01,185.7,40645,718848617.0,1.69,42.26225611797953,199.39499999999998,,,,,,268.36633680015217,199.39499999999998,130.4236631998478,169.05600000000004,168.52100000000002,199.39499999999998,74648.5,0.5444851537539267
2021-09-30,186.0,199.94,179.0,191.99,71840,1356615926.0,2.99,44.62977835682035,198.6897619047619,,,,,,265.00965246891815,197.47449999999998,129.9393475310818,176.42200000000005,170.519,197.47449999999998,68586.25,1.0474402668173286
2021-10-08,191.27,192.62,183.56,192.42,23780,448002368.0,0.99,44.796427825135964,198.092641723356,,,,,,257.26103960156195,194.5015,131.74196039843804,183.16200000000003,173.596,194.5015,53144.75,0.44745718062461487
2021-10-15,190.0,190.0,157.0,167.08,130747,2206380585.0,5.44,37.61221181431285,195.1390567973221,,,,,,249.09174737837498,190.433,131.774252621625,183.29800000000006,173.754,190.433,66753.0,1.958668524261082
2021-10-22,166.67,182.25,159.22,176.97,67264,1138108021.0,2.8,41.552060716254395,193.40867043567238,,,,,,243.267396186325,187.65699999999998,132.04660381367498,182.83200000000005,173.69,187.65699999999998,73407.75,0.9163065207692648
