date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2021-05-14,5.4,5.98,5.18,5.28,22942713,12684370144.0,17.54,,,,,,,,,,,,,,,
2021-05-21,5.29,5.58,4.94,5.34,13150944,6974964448.0,10.06,,,,,,,,,,,,,,,
2021-05-28,5.2,5.5,5.12,5.36,10981426,5834080176.0,8.4,,,,,,,,,,,,,,,
2021-06-04,5.35,5.54,5.05,5.16,9422818,4951681696.0,7.2,,,,,,,,,,,,,,14124475.25,0.6671269433531699
2021-06-11,5.2,5.52,5.06,5.45,8064543,4227843936.0,6.17,,,,,,,,,,,5.318,,,10404932.75,0.7750692093613003
2021-06-18,5.44,5.53,4.61,4.88,7729512,3856209872.0,5.91,,,,,,,,,,,5.2379999999999995,,,9049574.75,0.8541298584223529
2021-06-25,4.84,5.49,4.77,5.41,8376478,4280734672.0,6.4,,,,,,,,,,,5.252,,,8398337.75,0.9973971337363754
2021-07-02,5.39,5.42,5.08,5.14,6678104,3506172064.0,5.11,,,,,,,,,,,5.208,,,7712159.25,0.8659188410820226
2021-07-09,5.25,5.86,5.18,5.86,11452267,6272821472.0,8.76,,,,,,,,,,,5.348,,,8559090.25,1.3380238629917474
2021-07-16,6.05,6.17,5.38,5.82,16806463,9675078624.0,12.85,,,,,,,,,,,5.422,5.369999999999999,,10828328.0,1.552082925452572
2021-07-23,5.98,6.41,5.51,6.28,17172451,10289201808.0,13.13,,,,,,,,,,,5.702,5.47,,13027321.25,1.3181874209174047
2021-07-30,6.33,6.45,5.36,5.97,17160798,10106866112.0,13.12,,,,,,,,,,,5.814,5.5329999999999995,,15647994.75,1.0966771317455868
2021-08-06,5.88,5.96,5.4,5.64,11395306,6424025968.0,8.71,,,,,,,,,,,5.914,5.561,,15633754.5,0.7288911950101301
2021-08-13,5.56,6.34,5.49,6.3,14408792,8631751040.0,11.02,,,,,,,,,,,6.002000000000001,5.675,,15034336.75,0.9583922616340226
2021-08-20,6.38,6.44,5.63,5.87,13052753,7821992064.0,9.98,56.032719836400815,,,,,,,,,,6.0120000000000005,5.717,,14004412.25,0.9320457557938571
2021-08-27,5.91,7.65,5.88,7.25,25222563,17216862944.0,19.29,66.28061286041742,,,,,,,,,,6.206,5.953999999999999,,16019853.5,1.5744565329514406
2021-09-03,7.36,8.09,7.22,7.59,27838884,21350549056.0,21.29,68.24446561382962,,,,,,,,,,6.530000000000001,6.172,,20130748.0,1.3829036059663555
2021-09-10,8.0,10.01,7.77,9.3,29690759,26162644864.0,22.7,75.8595735568665,,,,,,,,,,7.2620000000000005,6.587999999999999,,23951239.75,1.23963349329339
2021-09-17,9.82,10.23,9.05,9.54,31562850,30747538688.0,24.13,76.70395494222191,,,,,,,,,,7.909999999999999,6.956,,28578764.0,1.1044162021842512
2021-09-24,9.45,10.16,8.78,8.87,15585081,14673427200.0,11.92,69.40542528669779,6.3155,,,,,,9.102609434521723,6.3155,3.5283905654782775,8.51,7.261,6.3155,26169393.5,0.5955461291068896
2021-09-30,8.8,8.85,7.71,7.75,15495742,12615556752.0,11.85,59.25527363354417,6.452119047619048,,,,,,9.25041885886824,6.439,3.627581141131759,8.61,7.4079999999999995,6.439,23083608.0,0.6712876947139286
2021-10-08,7.97,8.0,7.48,7.55,2907199,2227981840.0,2.22,57.63436955653187,6.556679138321996,,,,,,9.353165279593842,6.5495,3.745834720406158,8.601999999999999,7.566,6.5495,16387718.0,0.17740108781466707
2021-10-15,7.45,7.61,6.85,7.21,16124201,11554871248.0,12.33,54.88569646492797,6.618900172767519,,,,,,9.404351172461604,6.642,3.879648827538396,8.184,7.722999999999999,6.642,12528055.75,1.2870473536965223
2021-10-22,7.25,7.51,6.69,6.74,20467561,14625061360.0,15.65,51.24725199846174,6.630433489646803,,,,,,9.398363628646653,6.721000000000001,4.043636371353349,7.624,7.766999999999999,6.721000000000001,13748675.75,1.4886932656041438
