date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2022-05-13,25.11,26.19,24.81,25.72,1464693,3739352768.0,2.32,,,,,,,,,,,,,,,
2022-05-20,26.07,26.3,25.0,26.08,1346806,3465919280.0,2.13,,,,,,,,,,,,,,,
2022-05-27,26.01,26.08,24.46,25.12,1541471,3886576016.0,2.44,,,,,,,,,,,,,,,
2022-06-02,25.55,25.75,24.76,25.24,973752,2464173808.0,1.54,,,,,,,,,,,,,,1331680.5,0.7312204391368651
2022-06-10,25.14,25.23,23.35,24.02,2463869,5980423136.0,3.91,,,,,,,,,,,25.235999999999997,,,1581474.5,1.5579568307930352
2022-06-17,23.69,25.2,23.36,24.99,1810480,4395321616.0,2.87,,,,,,,,,,,25.089999999999996,,,1697393.0,1.066623934468918
2022-06-24,24.99,26.79,24.98,26.62,2048571,5289714832.0,3.25,,,,,,,,,,,25.198,,,1824168.0,1.1230166300472324
2022-07-01,26.51,27.88,26.34,27.0,1621303,4408990768.0,2.57,,,,,,,,,,,25.573999999999998,,,1986055.75,0.8163431464600125
2022-07-08,26.98,27.88,25.9,26.18,1321315,3510641072.0,2.09,,,,,,,,,,,25.762,,,1700417.25,0.7770533967471808
2022-07-15,26.0,27.47,24.65,24.65,2070139,5399945858.0,3.28,,,,,,,,,,,25.887999999999998,25.562,,1765332.0,1.1726627059385997
2022-07-22,24.65,25.71,24.49,24.96,1130868,2842244432.0,1.79,,,,,,,,,,,25.881999999999998,25.486,,1535906.25,0.7362871268998352
2022-07-29,24.99,25.65,24.65,24.79,1163065,2935930414.0,1.84,,,,,,,,,,,25.516,25.357000000000003,,1421346.75,0.8182837861345235
2022-08-05,24.6,24.72,22.79,23.45,1338935,3161425173.0,2.12,,,,,,,,,,,24.805999999999997,25.19,,1425751.75,0.9391080880665235
2022-08-12,23.31,23.87,22.76,23.68,1405132,3282017047.0,2.23,,,,,,,,,,,24.306,25.034,,1259500.0,1.11562683604605
2022-08-19,23.69,24.52,23.48,24.31,1167838,2799975311.0,1.85,43.392689784442354,,,,,,,,,,24.238,25.063,,1268742.5,0.9204688894712678
2022-08-26,24.1,24.79,23.82,24.33,1010753,2459667422.0,1.6,43.50672710266925,,,,,,,,,,24.112,24.996999999999996,,1230664.5,0.8213067005670514
2022-09-02,24.15,26.7,24.08,25.63,1853528,4760244917.0,2.94,50.48868150576959,,,,,,,,,,24.279999999999994,24.897999999999996,,1359312.75,1.3635772930107513
2022-09-09,25.45,26.74,25.0,26.5,1304668,3377254089.0,2.07,54.538063838454164,,,,,,,,,,24.889999999999993,24.847999999999995,,1334196.75,0.9778677695025115
2022-09-16,26.27,27.09,25.77,26.06,1077461,2854939348.0,1.71,52.212250729393894,,,,,,,,,,25.365999999999996,24.835999999999995,,1311602.5,0.8214844055268269
2022-09-23,25.94,26.26,24.25,24.5,1465028,3683377332.0,2.32,44.9010573449325,25.191499999999998,,,,,,27.154113308830713,25.191499999999998,23.228886691169283,25.403999999999996,24.820999999999994,25.191499999999998,1425171.25,1.0279662882618492
2022-09-30,24.11,25.8,24.11,24.77,1379340,3462656961.0,2.19,46.30255799415641,25.15135714285714,,,,,,27.099120456646933,25.144,23.188879543353064,25.491999999999997,24.801999999999996,25.144,1306624.25,1.055651615221438
2022-10-14,25.22,25.26,24.03,24.64,1084597,2683949468.0,1.72,45.699819683645764,25.10265646258503,,,,,,26.989640216515813,25.072,23.154359783484185,25.293999999999997,24.786999999999995,25.072,1251606.5,0.8665638920858912
2022-10-21,24.77,25.14,22.99,23.08,1279932,3071186500.0,2.03,39.11903249589418,24.91002251376741,,,,,,27.074490437136618,24.97,22.86550956286338,24.609999999999996,24.749999999999993,24.97,1302224.25,0.9828814046428639
2022-10-28,22.91,23.28,21.19,21.3,1516371,3336862421.0,2.4,33.23771520517243,24.56621084578956,,,,,,27.40982460546762,24.773,22.13617539453238,23.657999999999994,24.511999999999993,24.773,1315060.0,1.1530812282329324
2022-11-04,21.52,22.5,20.71,22.22,2046355,4399916896.0,3.24,38.39317977645845,24.3427621938096,,,,,,27.530912217748128,24.683,21.835087782251872,23.201999999999995,24.302999999999994,24.683,1481813.75,1.380979897102453
2022-11-11,22.08,24.09,22.01,23.68,1363821,3111361296.0,2.16,45.57573392301115,24.279641984875354,,,,,,27.494268151937092,24.6175,21.740731848062907,22.983999999999998,24.237999999999992,24.6175,1551619.75,0.87896599666252
2022-11-18,24.33,25.06,23.65,24.02,1378742,3336946200.0,2.19,47.12183276066956,24.25491417679199,,,,,,27.22201915334302,24.487499999999997,21.752980846656975,22.859999999999996,24.076999999999995,24.487499999999997,1576322.25,0.8746574502770611
2022-11-25,24.01,24.35,23.44,24.2,902806,2157530658.0,1.43,47.964627109743816,24.24968425519275,,,,,,26.828063444058508,24.347499999999997,21.866936555941486,23.083999999999996,23.846999999999994,24.347499999999997,1422931.0,0.634469275038635
2022-12-02,23.8,25.06,23.15,24.02,1579775,3818994181.0,2.5,47.155233439985786,24.227809564222014,,,,,,26.575389338132112,24.239499999999996,21.90361066186788,23.627999999999997,23.642999999999994,24.239499999999996,1306286.0,1.2093637993517499
2022-12-09,24.3,25.49,24.02,25.45,1323073,3281209469.0,2.1,53.8220914549761,24.344208653343728,,,,,,26.66892231512128,24.279499999999995,21.89007768487871,24.273999999999997,23.737999999999992,24.279499999999995,1296099.0,1.0208116818236879
2022-12-16,25.0,25.36,24.54,25.0,1106493,2753999599.0,1.75,51.61531196712487,24.406664972072896,,,,,,26.67326315717067,24.281499999999998,21.889736842829326,24.538,23.760999999999992,24.281499999999998,1228036.75,0.9010259668531907
2022-12-23,24.83,25.33,23.89,24.57,1011140,2484232990.0,1.6,49.52568167321187,24.422220689018335,,,,,,26.654819399744945,24.270499999999995,21.886180600255045,24.648000000000003,23.75399999999999,24.270499999999995,1255120.25,0.8056120519129542
2022-12-30,24.64,25.2,24.14,24.46,961729,2376375244.0,1.52,48.97940417750631,24.425818718635636,,,,,,26.676274081715356,24.320999999999994,21.965725918284633,24.7,23.891999999999992,24.320999999999994,1100608.75,0.8738155134601646
2023-01-06,24.39,25.95,24.01,25.64,1347190,3390454732.0,2.14,54.74593302188829,24.541455031146526,,,-0.0815563769526193,-0.316038690451238,0.2344823134986187,26.82205555491355,24.418999999999993,22.015944445086436,25.024,24.325999999999993,24.418999999999993,1106638.0,1.217371895778023
2023-01-13,25.75,26.4,25.43,26.39,1102596,2857669876.0,1.75,57.99552228555833,24.717506932942094,,,0.062311065715295655,-0.24036873921793125,0.3026798049332269,27.073686966289813,24.522999999999993,21.972313033710172,25.212,24.742999999999995,24.522999999999993,1105663.75,0.9972254222859346
