date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2018-05-11,64.13,73.0,63.61,71.41,1725794,11993051536.0,32.92,,,,,,,,,,,,,,,
2018-05-18,71.02,73.93,68.3,69.7,1280686,9104784192.0,24.43,,,,,,,,,,,,,,,
2018-05-25,70.98,71.98,67.77,69.0,1032540,7164582880.0,19.69,,,,,,,,,,,,,,,
2018-06-01,69.34,70.5,40.6,42.27,1236220,5838957984.0,15.72,,,,,,,,,,,,,,,
2018-06-08,42.48,43.62,40.5,41.85,1292511,5452350432.0,16.44,,,,,,,,,,,,,,,
2018-06-15,41.86,42.45,38.58,39.48,1099738,4447182720.0,13.98,,,,,,,,,,,,,,,
2018-06-22,38.45,38.68,33.34,36.74,1325158,4761406928.0,16.85,,,,,,,,,,,,,,,
2018-06-29,37.34,38.86,36.42,38.58,1528486,5801352256.0,19.44,,,,,,,,,,,,,,,
2018-07-06,38.19,38.8,34.7,37.87,1544151,5705556496.0,19.64,,,,,,,,,,,,,,,
2018-07-13,37.9,40.66,37.18,40.22,2067301,8094997952.0,26.29,,,,,,,,,,,,,,,
2018-07-20,40.01,40.39,37.36,38.03,1374151,5355833696.0,17.47,,,,,,,,,,,,,,,
2018-07-27,37.89,39.48,36.33,36.71,1133468,4322407776.0,14.41,,,,,,,,,,,,,,,
2018-08-03,36.96,38.21,34.34,35.18,1020947,3758297136.0,12.98,,,,,,,,,,,,,,,
2018-08-10,35.17,35.39,30.8,32.04,1376580,4438783184.0,17.5,,,,,,,,,,,,,,,
2018-08-17,31.5,32.87,29.75,30.11,1041670,3275550832.0,13.25,,,,,,,,,,,,,,,
2018-08-24,30.11,31.5,30.08,30.73,893510,2754262416.0,11.36,,,,,,,,,,,,,,,
2018-08-31,30.7,31.8,29.9,29.98,886190,2739939664.0,11.27,,,,,,,,,,,,,,,
2018-09-07,30.1,30.32,27.1,27.29,964490,2776063584.0,12.26,,,,,,,,,,,,,,,
2018-09-14,27.4,29.77,27.05,28.59,1334911,3794657840.0,16.97,,,,,,,,,,,29.339999999999996,,,,
2018-09-21,28.25,32.02,27.39,32.02,1570682,4642609504.0,19.97,,,,,,,,,,,29.722,,,,
2018-09-28,32.0,34.33,31.58,32.49,2213947,7248713024.0,28.15,,,,,,,,,,,30.074,,,,
2018-10-12,31.8,33.08,23.68,25.13,2406723,6889375664.0,30.6,,,,,,,,,,,29.104000000000003,,,,
2018-10-19,25.2,25.76,21.7,23.61,1721692,4070776224.0,21.89,,,,,,,,,,,28.368,,,,
2018-10-26,23.8,25.37,22.5,23.49,1572484,3782205568.0,20.0,,,,,,,,,,,27.348000000000003,28.344,,,
2018-11-02,23.23,25.86,22.11,25.37,1638623,3922781312.0,20.68,,,,,,,,,,,26.018,27.869999999999997,,,
2018-11-09,25.0,25.88,24.06,24.12,1700401,4239140880.0,21.46,,,,,,,,,,,24.344,27.208999999999996,,,
2018-11-16,24.01,25.57,23.2,25.31,1621664,4006198560.0,20.46,,,,,,,,,,,24.38,26.742,,,
2018-11-23,25.15,26.45,23.65,23.7,1589707,4005372512.0,20.06,,,,,,,,,,,24.398,26.383,,,
2018-11-30,23.68,25.46,23.23,25.3,1483384,3625392256.0,18.65,40.67468010856922,,,,,,,,,,24.76,26.054,,,
2018-12-07,26.0,26.58,24.81,25.71,2207260,5708483904.0,27.76,41.67326471364477,,,,,,,,,,24.828,25.423,,,
2018-12-14,25.45,26.11,24.1,24.46,1261193,3213484320.0,15.75,39.490779435372694,,,,,,,,,,24.896,24.619999999999997,,,
2018-12-21,24.25,24.98,22.81,23.06,1036070,2500509280.0,12.94,37.14444264521449,,,,,,,,,,24.446,24.413,,,
2018-12-28,22.99,23.25,21.77,22.08,717884,1617994064.0,8.97,35.55207859051852,,,,,,,,,,24.122,24.26,,,
2019-01-04,22.12,22.62,21.65,22.61,434223,961940641.0,5.42,37.12201341569957,,,,,,,32.60498542616894,26.258,19.91101457383106,23.584,24.172,26.258,1414835.4,0.3069070790849593
2019-01-11,22.89,23.06,22.25,22.44,867390,1964797206.0,10.83,36.812255176184614,,,,,,,32.170830598054714,25.8745,19.57816940194529,22.93,23.879,25.8745,1406121.4,0.6168670784755854
2019-01-18,22.44,22.78,22.02,22.42,688986,1542815339.0,8.61,36.77337836530324,,,,,,,31.510839059327388,25.459,19.40716094067261,22.522,23.709,25.459,1395895.2,0.4935800338019645
2019-01-25,22.53,23.22,22.3,22.79,925190,2104427664.0,11.56,38.07628008563657,,,,,,,30.882632282768636,25.0995,19.31636771723136,22.468,23.457,25.0995,1397845.2,0.6618687104981296
2019-02-01,22.82,23.04,19.21,20.22,1066076,2229195296.0,13.32,32.990915131370095,,,,,,,30.80793170532304,24.746,18.68406829467696,22.096,23.109,24.746,1402924.5,0.7598954897430332
2019-02-15,20.5,24.23,20.45,23.23,1867850,4241667808.0,23.33,42.65158208009533,,,,,,,30.305873025384145,24.478,18.65012697461586,22.22,22.901999999999997,24.478,1429571.45,1.3065803741393969
2019-02-22,23.22,25.24,23.21,24.55,2134487,5176921120.0,26.66,46.30736390036302,,,,,,,28.798195665464497,24.1045,19.41080433453551,22.642000000000003,22.786,24.1045,1457761.7,1.4642221701942095
2019-03-01,24.83,29.37,24.57,26.96,3001015,8067643120.0,37.49,52.28759454958465,,,,,,,26.87634774919139,23.828,20.77965225080861,23.55,23.036,23.828,1497115.1,2.0045319160831387
2019-03-08,26.98,28.98,25.8,25.94,3200359,8848313088.0,39.98,49.761417620399136,,,,,,,27.00520703126699,23.8685,20.73179296873301,24.18,23.324,23.8685,1536796.9,2.082486631772878
2019-03-15,26.0,32.0,25.94,31.03,4284233,12614942032.0,53.52,60.11663440327201,,,,,,,28.659049637689357,24.2395,19.81995036231064,26.342,24.219,24.2395,1664923.95,2.573230446952247
