date,open,high,low,close,volume,amount,turnover_rate,rsi,ema_20,ema_50,ema_60,macd,macd_signal,macd_histogram,bb_upper,bb_middle,bb_lower,ma_5,ma_10,ma_20,volume_ma,volume_ratio
2022-05-13,57.25,57.52,55.0,57.01,1345094,7592543312.0,1.97,,,,,,,,,,,,,,,
2022-05-20,57.52,58.75,55.33,56.9,1205700,6811637600.0,1.76,,,,,,,,,,,,,,,
2022-05-27,56.35,56.5,51.8,53.12,1819653,9803258384.0,2.66,,,,,,,,,,,,,,,
2022-06-02,53.15,54.77,52.08,52.56,1139389,6093786320.0,1.66,,,,,,,,,,,,,,1377459.0,0.8271672695884233
2022-06-10,52.58,53.8,51.58,52.25,1607065,8449575152.0,2.35,,,,,,,,,,,54.36800000000001,,,1442951.75,1.1137343989499302
2022-06-17,51.8,55.41,50.12,54.76,2565281,13586884512.0,3.75,,,,,,,,,,,53.918000000000006,,,1782847.0,1.4388677211224519
2022-06-24,55.16,58.95,55.16,57.8,2636140,15052353776.0,3.85,,,,,,,,,,,54.098,,,1986968.75,1.3267143733387856
2022-07-01,58.3,60.66,58.16,58.79,2033225,12094185936.0,2.97,,,,,,,,,,,55.232000000000006,,,2210427.75,0.9198332766135423
2022-07-08,57.54,61.49,57.54,58.58,1329960,7884361344.0,1.94,,,,,,,,,,,56.436,,,2141151.5,0.6211424086525404
2022-07-15,58.26,60.88,55.15,55.2,1917430,11117251484.54,2.8,,,,,,,,,,,57.025999999999996,55.697,,1979188.75,0.968795927119129
2022-07-22,55.2,56.35,54.0,55.09,999951,5515439174.45,1.46,,,,,,,,,,,57.092000000000006,55.50500000000001,,1570141.5,0.6368540669742185
2022-07-29,55.1,57.86,54.78,54.98,1251347,7031269919.41,1.83,,,,,,,,,,,56.528000000000006,55.31300000000001,,1374672.0,0.9102876904454299
2022-08-05,55.25,55.3,52.08,52.97,1099216,5841206159.53,1.6,,,,,,,,,,,55.36400000000001,55.298000000000016,,1316986.0,0.8346451670708724
2022-08-12,52.55,53.46,51.77,53.16,941039,4944329651.4,1.37,,,,,,,,,,,54.280000000000015,55.35800000000002,,1072888.25,0.8771081237957448
2022-08-19,53.17,53.88,52.11,52.61,858064,4533341653.0,1.25,37.681970884658455,,,,,,,,,,53.76200000000002,55.39400000000002,,1037416.5,0.8271162064609537
2022-08-26,52.46,53.55,50.97,52.23,1044665,5452644187.67,1.53,36.837894736842095,,,,,,,,,,53.19000000000002,55.14100000000002,,985746.0,1.0597709754845568
2022-09-02,51.6,55.5,51.51,53.65,1839673,9879886966.74,2.69,42.060775680220566,,,,,,,,,,52.92400000000002,54.72600000000002,,1170860.25,1.5712148396873153
2022-09-09,53.1,55.63,52.88,55.44,1255728,6795307046.45,1.83,47.908292652456204,,,,,,,,,,53.41800000000003,54.39100000000002,,1249532.5,1.0049582543871407
2022-09-16,55.44,57.2,54.9,55.12,1083136,6069350114.75,1.58,46.99516060897011,,,,,,,,,,53.810000000000024,54.045000000000016,,1305800.5,0.8294804604531856
2022-09-23,54.67,55.44,51.0,51.34,1398620,7388918812.54,2.04,37.82412661960396,54.678,,,,,,59.0155366280876,54.678,50.34046337191239,53.55600000000002,53.65900000000001,54.678,1394289.25,1.003106062820179
2022-09-30,51.0,52.0,49.31,49.31,1197592,6075426487.11,1.75,33.98810506837631,54.166761904761906,,,,,,59.07805632150809,54.29299999999999,49.50794367849189,52.97200000000002,53.08100000000002,54.29299999999999,1233769.0,0.9706776552174677
2022-10-14,49.31,49.99,47.0,47.99,1311995,6305297667.92,1.91,31.734361642032642,53.57849886621315,,,,,,59.20372581674871,53.84749999999999,48.49127418325127,51.84000000000002,52.38200000000002,53.84749999999999,1247835.75,1.0514164223937326
2022-10-21,47.71,48.15,43.77,44.0,1700563,7801535476.33,2.48,26.100459258277336,52.66626087895476,,,,,,60.25780985318919,53.39149999999999,46.5251901468108,49.55200000000002,51.485000000000014,53.39149999999999,1402192.5,1.212788543655739
2022-10-28,43.7,44.32,40.62,40.76,1864538,7905585834.88,2.72,22.59287684341789,51.53233127143526,,,,,,61.606412889972304,52.8015,43.99658711002769,46.68000000000002,50.24500000000002,52.8015,1518672.0,1.2277423959880738
2022-11-04,40.73,43.35,40.09,43.09,1952432,8110646961.37,2.85,29.88975073017322,50.72829972177476,,,,,,62.115360160686016,52.34349999999999,42.57163983931397,45.030000000000015,49.29300000000002,52.34349999999999,1707382.0,1.143523827708152
2022-11-11,43.0,46.2,42.51,45.63,1918971,8421375319.02,2.8,36.87554850595674,50.24274736732002,,,,,,62.011327335680136,51.887,41.762672664319865,44.29400000000002,48.63300000000002,51.887,1859126.0,1.0321898569542893
2022-11-18,47.92,49.58,47.3,47.97,2125941,10257241705.92,3.1,42.554371210654715,50.02629523709906,,,,,,61.27535723581049,51.395500000000006,41.51564276418952,44.29000000000001,48.06500000000002,51.395500000000006,1965470.5,1.0816448275362056
2022-11-25,47.47,47.47,45.78,46.69,1184252,5494417046.56,1.73,40.412678661396704,49.70855283356582,,,,,,60.25834553105925,50.79050000000001,41.32265446894077,44.82800000000002,47.19000000000002,50.79050000000001,1795399.0,0.6596037983757371
2022-12-02,45.68,49.33,45.23,48.04,1334909,6378162882.24,1.95,43.634733972435896,49.549643039892885,,,,,,59.08999256499991,50.26350000000001,41.437007435000105,46.28400000000001,46.48200000000002,50.26350000000001,1641018.25,0.8134638356398535
2022-12-09,48.49,54.33,48.4,54.3,2213088,11418448612.21,3.23,55.61878314548171,50.00205798847451,,,,,,58.952555816171625,50.2185,41.48444418382837,48.52600000000001,46.77800000000003,50.2185,1714547.5,1.2907708885288975
2022-12-16,53.7,55.8,52.77,54.0,1509169,8162423990.02,2.2,55.015104836879914,50.38281437052456,,,,,,58.788702661541485,50.164,41.53929733845852,50.20000000000001,47.24700000000003,50.164,1560354.5,0.9671962364962577
2022-12-23,54.0,54.38,51.29,52.38,955521,5020869980.59,1.39,51.74875684078407,50.573022525712695,,,,,,58.44002498211855,50.034,41.62797501788145,51.08200000000001,47.68600000000002,50.034,1503171.75,0.6356698760470985
2022-12-30,52.68,53.03,51.02,51.8,738183,3844401311.05,1.08,50.59065051504008,50.68987752326387,,,,,,58.315002323280545,49.9755,41.63599767671945,52.104000000000006,48.46600000000002,49.9755,1353990.25,0.5451907796234131
