ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
1991-04-03,0.3,0.4,0.0,0,0
1991-08-17,0.0,0.3,0.0,0,0
1993-05-24,0.3,0.35,0.5,0,0
1994-07-11,0.5,0.3,0.2,0,0
1995-09-25,0.3,0.2,0.0,0,0
1996-05-27,0.0,0.5,0.5,0,0
1997-08-25,0.2,0.5,0.0,0,0
1999-10-18,0.6,0.0,0.0,0,0
2002-07-23,0.15,0.0,0.0,0,0
2003-09-29,0.15,0.0,0.0,0,0
2007-06-18,0.009,0.1,0.0,0,0
2008-10-31,0.0335,0.3,0.0,0,0
2012-10-19,0.1,0.0,0.0,0,0
2013-06-20,0.16999999999999998,0.6,0.0,0,0
2014-06-12,0.16,0.0,0.2,0,0
2015-04-13,0.174,0.0,0.2,0,0
2016-06-16,0.153,0.0,0.2,0,0
2017-07-21,0.158,0.0,0.0,0,0
2018-07-12,0.136,0.0,0.0,0,0
2019-06-26,0.145,0.0,0.0,0,0
2020-05-28,0.21800000000000003,0.0,0.0,0,0
2021-05-14,0.18,0.0,0.0,0,0
2022-07-22,0.22799999999999998,0.0,0.0,0,0
2023-06-14,0.28500000000000003,0.0,0.0,0,0
2024-06-14,0.7190000000000001,0.0,0.0,0,0
2024-10-10,0.246,0.0,0.0,0,0
2025-06-12,0.362,0.0,0.0,0,0
