ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
1994-04-04,0.0,0.3,0.0,0,0
1995-07-10,0.35,0.0,0.0,0,0
1996-07-26,0.1,0.2,0.0,0,0
1997-06-16,0.43,0.0,0.0,0,0
1998-06-08,0.47000000000000003,0.0,0.0,0,0
2000-06-20,0.2,0.2,0.0,0,0
2001-06-21,0.2,0.2,0.0,0,0
2002-06-20,0.3,0.0,0.0,0,0
2003-07-10,0.3,0.0,0.0,0,0
2004-07-12,0.05,0.2,0.3,0,0
2005-07-14,0.3,0.0,0.0,0,0
2006-07-20,0.1,0.0,0.0,0,0
2007-07-19,0.15,0.0,0.0,0,0
2008-06-25,0.2,0.0,0.0,0,0
2009-07-13,0.15,0.0,0.0,0,0
2010-07-29,0.3,0.0,0.0,0,0
2011-07-18,0.1,0.0,1.0,0,0
2012-06-12,0.16999999999999998,0.0,0.0,0,0
2013-06-07,0.37,0.0,0.0,0,0
2014-06-18,0.45999999999999996,0.0,0.0,0,0
2015-07-16,0.492,0.0,1.0,0,0
2016-07-26,0.21200000000000002,0.0,0.0,0,0
2017-08-01,0.248,0.0,0.0,0,0
2018-06-07,0.34199999999999997,0.0,0.0,0,0
2019-08-08,0.351,0.0,0.0,0,0
2020-07-16,0.375,0.0,0.0,0,0
2021-08-23,0.366,0.0,0.0,0,0
2022-08-23,0.46136,0.0,0.0,0,0
2023-08-25,0.56692,0.0,0.0,0,0
2024-08-16,0.80131,0.0,0.0,0,0
2025-07-25,0.9650399999999999,0.0,0.0,0,0
2025-11-07,0.2692,0.0,0.0,0,0
