ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
2005-07-14,0.072,0.0,0.0,0,0
2006-06-26,0.081,0.0,0.0,0,0
2007-06-20,0.09,0.0,0.0,0,0
2008-08-01,0.1098,0.0,0.0,0,0
2009-07-16,0.09,0.0,0.0,0,0
2010-06-24,0.108,0.0,0.02,0,0
2011-07-11,0.108,0.0,0.02,0,0
2012-08-14,0.09,0.0,0.0,0,0
2013-08-20,0.095,0.0,0.0,0,0
2014-08-22,0.095,0.0,0.0,0,0
2015-07-10,0.1615,0.0,0.05,0,0
2016-05-26,0.05,0.0,0.0,0,0
2017-07-18,0.1,0.0,0.0,0,0
2018-07-11,0.12,0.0,0.0,0,0
2019-05-31,0.5,0.0,0.0,0,0
2020-06-05,0.6,0.0,0.0,0,0
2021-05-21,0.65,0.0,0.0,0,0
2022-06-07,0.7,0.0,0.0,0,0
2023-06-08,1.05,0.0,0.0,0,0
2024-06-07,1.0,0.0,0.0,0,0
2025-06-13,0.75,0.0,0.0,0,0
