ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
1997-05-07,0.0,0.3,0.3,0,0
1998-04-13,0.0,0.3,0.0,0,0
1998-08-24,0.0,0.6,0.0,0,0
1999-05-12,0.0,0.5,0.0,0,0
2001-03-16,0.2,0.0,0.8,0,0
2002-04-08,0.25,0.0,0.0,0,0
2002-09-10,0.0,0.0,0.7,0,0
2003-06-12,0.06,0.0,0.0,0,0
2004-04-08,0.04,0.0,0.6,0,0
2005-07-08,0.08,0.0,0.0,0,0
2006-07-03,0.08,0.0,0.0,0,0
2007-05-24,0.1,0.0,0.0,0,0
2008-03-17,0.12,0.0,1.0,0,0
2009-07-06,0.03,0.0,0.0,0,0
2010-05-04,0.078,0.7,0.3,0,0
2011-06-13,0.1,0.0,0.0,0,0
2012-06-12,0.1,0.0,0.0,0,0
2013-05-23,0.13,0.0,0.0,0,0
2014-06-13,0.13,0.0,0.0,0,0
2015-07-08,0.15,0.0,0.0,0,0
2016-07-06,0.11000000000000001,0.0,0.0,0,0
2017-07-04,0.11000000000000001,0.0,0.0,0,0
2018-07-10,0.08,0.0,0.0,0,0
2019-06-28,0.04,0.0,0.0,0,0
2020-07-03,0.05,0.0,0.0,0,0
2021-07-07,0.04,0.0,0.0,0,0
2023-07-06,0.1,0.0,0.0,0,0
2023-10-24,0.05,0.0,0.0,0,0
2024-07-05,0.06999999999999999,0.0,0.0,0,0
2024-10-31,0.09,0.0,0.0,0,0
2025-07-10,0.11000000000000001,0.0,0.0,0,0
2025-10-29,0.1,0.0,0.0,0,0
