ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
2001-04-11,0.32,0.0,0.0,0,0
2001-12-27,0.24,0.0,0.0,0,0
2002-05-21,0.224,0.0,0.0,0,0
2003-05-30,0.32,0.0,0.0,0,0
2003-12-11,0.224,0.0,0.0,0,0
2004-05-18,0.224,0.0,0.0,0,0
2005-09-09,1.35,0.0,0.1,0,0
2006-06-29,0.18,0.0,0.0,0,0
2007-06-06,0.36,0.0,0.0,0,0
2008-05-23,0.18,0.0,0.0,0,0
2009-06-19,0.13,0.05,0.0,0,0
2010-05-26,0.2885,0.04,0.0,0,0
2011-05-27,0.12,0.06,0.0,0,0
2012-05-16,0.072,0.0,0.0,0,0
2013-06-06,0.0285,0.0,0.0,0,0
2014-06-16,0.0076,0.0,0.0,0,0
2017-06-28,0.025,0.0,0.0,0,0
2018-07-12,0.025,0.0,0.0,0,0
2019-07-09,0.015,0.0,0.0,0,0
2020-07-01,0.1,0.0,0.0,0,0
2021-06-21,0.1,0.0,0.0,0,0
2022-05-19,0.45,0.0,0.0,0,0
2023-05-18,1.0,0.0,0.0,0,0
2024-05-16,0.8,0.0,0.0,0,0
2024-12-10,0.3,0.0,0.0,0,0
2025-05-16,0.5,0.0,0.0,0,0
