ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
2010-06-02,0.028999999999999998,0.0,0.0,0,0
2011-06-03,0.062,0.0,0.0,0,0
2012-06-12,0.08,0.0,0.0,0,0
2013-07-25,0.10500000000000001,0.0,0.0,0,0
2014-06-17,0.143,0.0,0.0,0,0
2015-06-16,0.172,0.0,0.0,0,0
2016-06-16,0.2,0.0,0.0,0,0
2017-06-16,0.215,0.0,0.0,0,0
2018-06-29,0.215,0.0,0.4,0,0
2019-06-14,0.16799999999999998,0.0,0.0,0,0
2020-06-24,0.185,0.0,0.0,0,0
2021-06-30,0.21469999999999997,0.0,0.0,0,0
2022-06-30,0.25,0.0,0.0,0,0
2023-06-30,0.25270000000000004,0.0,0.0,0,0
2024-06-27,0.27145,0.0,0.0,0,0
2025-07-17,0.27149999999999996,0.0,0.0,0,0
