ex_date,dividend_amount,bonus_ratio,transfer_ratio,allotment_ratio,allotment_price
2003-07-16,0.12,0.0,0.0,0,0
2004-05-11,0.092,0.0,0.2,0,0
2005-06-20,0.11000000000000001,0.0,0.5,0,0
2006-02-24,0.0,0.0,0.08589,0,0
2006-06-16,0.08,0.0,0.0,0,0
2006-09-21,0.18,0.0,0.0,0,0
2007-07-04,0.12,0.0,0.0,0,0
2008-07-28,0.27999999999999997,0.0,0.0,0,0
2009-07-03,0.1,0.3,0.0,0,0
2010-07-01,0.21000000000000002,0.0,0.0,0,0
2011-06-10,0.29,0.0,0.0,0,0
2012-06-07,0.42000000000000004,0.0,0.0,0,0
2013-06-13,0.63,0.0,0.0,0,0
2014-07-11,0.62,0.0,0.0,0,0
2015-07-03,0.67,0.0,0.0,0,0
2016-07-13,0.6900000000000001,0.0,0.0,0,0
2017-06-14,0.74,0.0,0.0,0,0
2018-07-12,0.8400000000000001,0.0,0.0,0,0
2019-07-12,0.9400000000000001,0.0,0.0,0,0
2020-07-10,1.2,0.0,0.0,0,0
2021-07-13,1.253,0.0,0.0,0,0
2022-07-15,1.522,0.0,0.0,0,0
2023-07-13,1.738,0.0,0.0,0,0
2024-07-11,1.972,0.0,0.0,0,0
2025-07-11,2.0,0.0,0.0,0,0
